group_id	ontology	go_id	go_term	genome_genes_count	et_genes_count	proportion	percentage
CG2_CG3	CC	GO:0005622	intracellular	13799	678	0.0491339952170447	4.9
CG2_CG3	CC	GO:0005634	nucleus	5478	363	0.0662650602409639	6.6
CG2_CG3	CC	GO:0043226	organelle	12227	582	0.0475995747117036	4.8
CG2_CG3	CC	GO:0071944	cell periphery	3781	227	0.0600370272414705	6
CG2_CG3	CC	GO:0005737	cytoplasm	9752	503	0.0515791632485644	5.2
CG2_CG3	CC	GO:0043233	organelle lumen	1289	98	0.0760279286268425	7.6
CG2_CG3	CC	GO:0070013	intracellular organelle lumen	1289	98	0.0760279286268425	7.6
CG2_CG3	CC	GO:0031974	membrane-enclosed lumen	1289	98	0.0760279286268425	7.6
CG2_CG3	CC	GO:0016604	nuclear body	113	21	0.185840707964602	18.6
CG2_CG3	CC	GO:0005654	nucleoplasm	464	43	0.0926724137931035	9.3
CG2_CG3	CC	GO:0005829	cytosol	2261	238	0.105263157894737	10.5
CG2_CG3	CC	GO:0005886	plasma membrane	3065	206	0.06721044045677	6.7
CG2_CG3	CC	GO:0043232	intracellular non-membrane-bounded organelle	1851	134	0.0723933009184225	7.2
CG2_CG3	CC	GO:0099080	supramolecular complex	326	35	0.107361963190184	10.7
CG2_CG3	CC	GO:0043228	non-membrane-bounded organelle	1851	134	0.0723933009184225	7.2
CG2_CG3	CC	GO:0005681	spliceosomal complex	171	28	0.16374269005848	16.4
CG2_CG3	CC	GO:0030054	cell junction	1031	70	0.0678952473326867	6.8
CG2_CG3	CC	GO:0055044	symplast	1027	70	0.068159688412853	6.8
CG2_CG3	CC	GO:0031965	nuclear membrane	60	12	0.2	20
CG2_CG3	CC	GO:0005881	cytoplasmic microtubule	31	10	0.32258064516129	32.3
