group_id	ontology	go_id	go_term	genome_genes_count	et_genes_count	proportion	percentage
CG1	CC	GO:0016021	integral component of membrane	6447	109	0.0169070885683264	1.7
CG1	CC	GO:0043229	intracellular organelle	12065	579	0.0479900538748446	4.8
CG1	CC	GO:0043231	intracellular membrane-bounded organelle	11429	541	0.0473357249103159	4.7
CG1	CC	GO:0031984	organelle subcompartment	878	42	0.0478359908883827	4.8
CG1	CC	GO:0031981	nuclear lumen	1054	88	0.0834914611005693	8.3
CG1	CC	GO:0009526	plastid envelope	724	30	0.0414364640883978	4.1
CG1	CC	GO:0009532	plastid stroma	769	31	0.0403120936280884	4
CG1	CC	GO:0009536	plastid	2615	109	0.0416826003824092	4.2
CG1	CC	GO:0031975	envelope	1223	56	0.0457890433360589	4.6
CG1	CC	GO:0009570	chloroplast stroma	750	30	0.04	4
CG1	CC	GO:0009941	chloroplast envelope	703	29	0.0412517780938834	4.1
CG1	CC	GO:0098805	whole membrane	1022	50	0.0489236790606654	4.9
CG1	CC	GO:0098588	bounding membrane of organelle	1414	62	0.0438472418670438	4.4
CG1	CC	GO:0000785	chromatin	204	18	0.0882352941176471	8.8
CG1	CC	GO:0005694	chromosome	418	24	0.0574162679425837	5.7
CG1	CC	GO:0042170	plastid membrane	284	8	0.028169014084507	2.8
CG1	CC	GO:0019867	outer membrane	123	10	0.0813008130081301	8.1
CG1	CC	GO:0005875	microtubule associated complex	86	12	0.13953488372093	14
CG1	CC	GO:0009579	thylakoid	596	26	0.0436241610738255	4.4
CG1	CC	GO:0034357	photosynthetic membrane	447	15	0.0335570469798658	3.4
CG1	CC	GO:0010319	stromule	36	4	0.111111111111111	11.1
CG1	CC	GO:0005657	replication fork	47	2	0.0425531914893617	4.3
CG1	CC	GO:0010287	plastoglobule	79	4	0.0506329113924051	5.1
CG1	CC	GO:0099023	vesicle tethering complex	75	4	0.0533333333333333	5.3
