GO.ID	Term	Annotated	Significant	Expected	parentchildFisher	parentchildFisher_fdr
GO:0005829	cytosol	1799	238	100.59	1e-30	1.009e-27
GO:0005622	intracellular	10262	678	573.81	5.2e-23	2.6234e-20
GO:0005886	plasma membrane	2473	206	138.28	8.4e-18	2.8252e-15
GO:0005634	nucleus	4338	363	242.56	1.6e-15	4.036e-13
GO:0005737	cytoplasm	7174	503	401.14	1.0e-14	2.018e-12
GO:0043226	organelle	9092	582	508.39	3.1e-09	5.21316666666667e-07
GO:0071944	cell periphery	2886	227	161.37	8.0e-09	1.15314285714286e-06
GO:0016604	nuclear body	98	21	5.48	8.8e-08	1.1099e-05
GO:0031974	membrane-enclosed lumen	1043	98	58.32	2.2e-07	2.46644444444444e-05
GO:0043228	non-membrane-bounded organelle	1435	134	80.24	1.5e-06	0.00015135
GO:0043232	intracellular non-membrane-bounded organ...	1435	134	80.24	1.8e-06	0.000165109090909091
GO:0005681	spliceosomal complex	139	28	7.77	4.6e-06	0.000380315384615385
GO:0099080	supramolecular complex	275	35	15.38	4.9e-06	0.000380315384615385
GO:0005654	nucleoplasm	379	43	21.19	8.6e-06	0.000619814285714286
GO:0005881	cytoplasmic microtubule	29	10	1.62	1.5e-05	0.001009
GO:0031965	nuclear membrane	55	12	3.08	1.7e-05	0.0010720625
GO:0043233	organelle lumen	1043	98	58.32	4.2e-05	0.00249282352941176
GO:0070013	intracellular organelle lumen	1043	98	58.32	4.8e-05	0.00269066666666667
GO:0055044	symplast	803	70	44.9	0.00015	0.00796578947368421
GO:0030054	cell junction	807	70	45.12	0.00017	0.0085765
GO:0032991	protein-containing complex	2213	160	123.74	0.00022	0.0105704761904762
GO:0048046	apoplast	331	20	18.51	0.00034	0.0155936363636364
GO:0009524	phragmoplast	79	13	4.42	0.00042	0.0184252173913043
GO:0000326	protein storage vacuole	12	5	0.67	0.00057	0.02396375
GO:0005652	nuclear lamina	4	3	0.22	0.00068	0.0274448
GO:0000322	storage vacuole	12	5	0.67	0.00088	0.0341507692307692
GO:0005856	cytoskeleton	346	48	19.35	0.00093	0.0347544444444444
GO:0005635	nuclear envelope	121	19	6.77	0.00098	0.035315
GO:0005854	nascent polypeptide-associated complex	4	3	0.22	0.00134	0.0466227586206897
GO:0009504	cell plate	33	7	1.85	0.00204	0.068612
GO:1990904	ribonucleoprotein complex	553	55	30.92	0.00370	0.120429032258065
GO:0031301	integral component of organelle membrane	122	9	6.82	0.00390	0.122971875
GO:0012505	endomembrane system	1660	117	92.82	0.00505	0.154407575757576
GO:0005794	Golgi apparatus	861	75	48.14	0.00882	0.261746470588235
GO:0000785	chromatin	175	18	9.79	0.00963	0.277619142857143
GO:0030904	retromer complex	8	3	0.45	0.01210	0.339136111111111
GO:0005938	cell cortex	79	11	4.42	0.01309	0.347839473684211
GO:0009574	preprophase band	17	4	0.95	0.01310	0.347839473684211
GO:0080008	Cul4-RING E3 ubiquitin ligase complex	79	7	4.42	0.01458	0.377210769230769
GO:0030863	cortical cytoskeleton	33	9	1.85	0.01519	0.38316775
GO:0031300	intrinsic component of organelle membran...	124	9	6.93	0.01605	0.387023571428571
GO:0048471	perinuclear region of cytoplasm	18	4	1.01	0.01611	0.387023571428571
GO:0005875	microtubule associated complex	79	12	4.42	0.01756	0.412047441860465
GO:0031981	nuclear lumen	874	88	48.87	0.01963	0.441269333333333
GO:0031982	vesicle	522	45	29.19	0.01968	0.441269333333333
GO:0030981	cortical microtubule cytoskeleton	29	9	1.62	0.02203	0.483223260869565
GO:0030135	coated vesicle	105	15	5.87	0.02289	0.4851272
GO:0000813	ESCRT I complex	6	2	0.34	0.02331	0.4851272
GO:0097708	intracellular vesicle	493	43	27.57	0.02384	0.4851272
GO:0009707	chloroplast outer membrane	56	5	3.13	0.02404	0.4851272
GO:0005905	clathrin-coated pit	25	5	1.4	0.02583	0.511028823529412
GO:0016281	eukaryotic translation initiation factor...	4	2	0.22	0.02728	0.526203018867925
GO:0030136	clathrin-coated vesicle	57	12	3.19	0.02764	0.526203018867925
GO:0032586	protein storage vacuole membrane	7	2	0.39	0.02850	0.532527777777778
GO:0005815	microtubule organizing center	43	6	2.4	0.03195	0.586137272727273
GO:0030125	clathrin vesicle coat	11	2	0.62	0.03704	0.667381428571428
GO:0098588	bounding membrane of organelle	1056	62	59.05	0.03843	0.680278421052631
GO:0035618	root hair	9	2	0.5	0.03944	0.68612
GO:0005643	nuclear pore	53	8	2.96	0.04053	0.693131694915254
