GO.ID	Term	Annotated	Significant	Expected	parentchildFisher	parentchildFisher_fdr
GO:0006468	protein phosphorylation	1222	1138	867.22	1e-30	1.505e-27
GO:0044237	cellular metabolic process	10480	7859	7437.38	1e-30	1.505e-27
GO:0006793	phosphorus metabolic process	2316	1948	1643.6	1e-30	1.505e-27
GO:0036211	protein modification process	2849	2336	2021.86	1e-30	1.505e-27
GO:0009987	cellular process	14843	10789	10533.69	3.4e-30	4.0936e-27
GO:0006807	nitrogen compound metabolic process	8939	6772	6343.77	4.0e-29	4.01333333333333e-26
GO:0042742	defense response to bacterium	419	348	297.35	8.5e-28	7.31e-25
GO:0009617	response to bacterium	490	404	347.74	3.5e-27	2.63375e-24
GO:0050789	regulation of biological process	5413	4125	3841.46	3.6e-25	2.408e-22
GO:0016310	phosphorylation	1576	1407	1118.45	7.6e-23	4.5752e-20
GO:0006464	cellular protein modification process	2849	2336	2021.86	8.4e-23	4.59709090909091e-20
GO:0065007	biological regulation	6076	4589	4311.98	1.1e-22	5.51833333333333e-20
GO:0071704	organic substance metabolic process	10988	8172	7797.9	1.7e-22	7.87230769230769e-20
GO:0044238	primary metabolic process	10252	7659	7275.58	2.3e-21	9.89e-19
GO:0044260	cellular macromolecule metabolic process	6854	5321	4864.1	8.3e-21	3.33106666666667e-18
GO:0008152	metabolic process	12346	9008	8761.63	4.9e-19	1.843625e-16
GO:0071840	cellular component organization or bioge...	3304	2581	2344.76	4.0e-16	1.41647058823529e-13
GO:0051716	cellular response to stimulus	2856	2234	2026.83	1.2e-15	4.01333333333333e-13
GO:0019222	regulation of metabolic process	3280	2549	2327.73	2.1e-15	6.65368421052632e-13
GO:0033554	cellular response to stress	1017	838	721.74	2.4e-14	7.224e-12
GO:0032502	developmental process	3189	2434	2263.15	4.4e-14	1.26133333333333e-11
GO:0007049	cell cycle	651	551	462	1.0e-13	2.73636363636364e-11
GO:0043170	macromolecule metabolic process	8354	6359	5928.61	1.1e-13	2.87913043478261e-11
GO:0045087	innate immune response	351	273	249.1	1.5e-13	3.7625e-11
GO:0006996	organelle organization	1818	1501	1290.19	2.9e-13	6.9832e-11
GO:0032501	multicellular organismal process	2953	2253	2095.67	7.2e-13	1.66707692307692e-10
GO:0022402	cell cycle process	470	405	333.55	8.7e-13	1.93977777777778e-10
GO:0051640	organelle localization	163	152	115.68	3.3e-11	7.095e-09
GO:0043412	macromolecule modification	3258	2603	2312.12	4.1e-11	8.51103448275862e-09
GO:0050794	regulation of cellular process	4801	3649	3407.14	2.2e-10	4.41466666666667e-08
GO:0051301	cell division	418	357	296.64	2.4e-10	4.66064516129032e-08
GO:0002229	defense response to oomycetes	78	72	55.35	4.4e-10	8.2775e-08
GO:0009628	response to abiotic stimulus	2091	1640	1483.93	9.7e-10	1.76951515151515e-07
GO:0050896	response to stimulus	6130	4522	4350.3	1.0e-09	1.77058823529412e-07
GO:0051234	establishment of localization	2721	2020	1931.02	6.4e-09	1.1008e-06
GO:2000112	regulation of cellular macromolecule bio...	2329	1814	1652.83	2.4e-08	4.01333333333333e-06
GO:0007017	microtubule-based process	222	194	157.55	8.0e-08	1.30162162162162e-05
GO:0048519	negative regulation of biological proces...	1128	876	800.51	9.8e-08	1.55252631578947e-05
GO:0023052	signaling	1839	1398	1305.09	1.7e-07	2.62410256410256e-05
GO:0002239	response to oomycetes	99	86	70.26	2.0e-07	3.01e-05
GO:0000003	reproduction	1798	1367	1275.99	2.3e-07	3.37707317073171e-05
GO:0019538	protein metabolic process	4350	3349	3087.08	2.7e-07	3.87e-05
GO:0031323	regulation of cellular metabolic process	2974	2305	2110.57	3.3e-07	4.62e-05
GO:0031347	regulation of defense response	237	189	168.19	4.1e-07	5.60954545454545e-05
GO:0015833	peptide transport	887	696	629.48	4.6e-07	6.15086956521739e-05
