GO.ID	Term	Annotated	Significant	Expected	parentchildFisher	parentchildFisher_fdr
GO:0005622	intracellular	13799	9624	9026.69	1e-30	3.46666666666667e-28
GO:0043226	organelle	12227	8550	7998.35	1e-30	3.46666666666667e-28
GO:0005886	plasma membrane	3065	2312	2004.99	1e-30	3.46666666666667e-28
GO:0005634	nucleus	5478	4099	3583.46	4.8e-24	1.248e-21
GO:0005737	cytoplasm	9752	6696	6379.32	5.0e-22	1.04e-19
GO:0009532	plastid stroma	769	621	503.05	1.1e-21	1.90666666666667e-19
GO:0005829	cytosol	2261	1677	1479.04	1.7e-21	2.52571428571429e-19
GO:0031974	membrane-enclosed lumen	1289	993	843.21	6.6e-21	8.58e-19
GO:0071944	cell periphery	3781	2701	2473.36	1.5e-18	1.73333333333333e-16
GO:0048046	apoplast	518	311	338.85	1.0e-17	1.04e-15
GO:0009536	plastid	2615	1961	1710.62	5.0e-10	4.59333333333333e-08
GO:0030054	cell junction	1031	764	674.43	5.3e-10	4.59333333333333e-08
GO:0055044	symplast	1027	760	671.82	9.1e-10	6.83428571428572e-08
GO:0031984	organelle subcompartment	878	656	574.35	9.2e-10	6.83428571428572e-08
GO:0043233	organelle lumen	1289	993	843.21	1.1e-09	7.62666666666667e-08
GO:0099080	supramolecular complex	326	262	213.25	1.7e-09	1.105e-07
GO:0032991	protein-containing complex	2946	2066	1927.14	2.1e-09	1.27111111111111e-07
GO:0009526	plastid envelope	724	585	473.61	2.2e-09	1.27111111111111e-07
GO:0009579	thylakoid	596	455	389.88	2.9e-09	1.58736842105263e-07
GO:0070013	intracellular organelle lumen	1289	993	843.21	5.1e-09	2.652e-07
GO:0005654	nucleoplasm	464	360	303.53	5.9e-09	2.92190476190476e-07
GO:0000785	chromatin	204	169	133.45	2.3e-08	1.08727272727273e-06
GO:0034357	photosynthetic membrane	447	340	292.41	1.0e-07	4.52173913043478e-06
GO:0010287	plastoglobule	79	72	51.68	1.1e-07	4.76666666666667e-06
GO:0043229	intracellular organelle	12065	8476	7892.38	3.1e-07	1.2896e-05
GO:0005875	microtubule associated complex	86	79	56.26	1.5e-06	6e-05
GO:0005694	chromosome	418	343	273.44	1.6e-06	6.16296296296296e-05
GO:0031975	envelope	1223	874	800.03	2.1e-06	7.8e-05
GO:0016604	nuclear body	113	95	73.92	7.8e-06	0.000273866666666667
GO:0009570	chloroplast stroma	750	608	490.62	7.9e-06	0.000273866666666667
GO:0009941	chloroplast envelope	703	571	459.87	8.6e-06	0.000288516129032258
GO:0042170	plastid membrane	284	222	185.78	1.0e-05	0.000325
GO:0098588	bounding membrane of organelle	1414	959	924.98	2.1e-05	0.000661818181818182
GO:0031965	nuclear membrane	60	53	39.25	2.4e-05	0.000734117647058824
GO:0016021	integral component of membrane	6447	3905	4217.34	4.7e-05	0.00139657142857143
GO:0043231	intracellular membrane-bounded organelle	11429	8041	7476.34	5.6e-05	0.00161777777777778
GO:0009504	cell plate	35	33	22.9	6.6e-05	0.00185513513513514
GO:0005856	cytoskeleton	417	335	272.78	0.00011	0.00301052631578947
GO:1990234	transferase complex	585	412	382.68	0.00019	0.00506666666666667
GO:0043228	non-membrane-bounded organelle	1851	1357	1210.84	0.00028	0.00728
GO:0010319	stromule	36	33	23.55	0.00029	0.00735609756097561
GO:0031981	nuclear lumen	1054	829	689.48	0.00039	0.00965714285714286
GO:0098687	chromosomal region	89	73	58.22	0.00043	0.0104
GO:0019867	outer membrane	123	97	80.46	0.00044	0.0104
GO:0000124	SAGA complex	16	16	10.47	0.00052	0.0120177777777778
GO:0099023	vesicle tethering complex	75	65	49.06	0.00060	0.0135652173913043
GO:0005657	replication fork	47	41	30.75	0.00069	0.015268085106383
GO:0043232	intracellular non-membrane-bounded organ...	1851	1357	1210.84	0.00089	0.0192833333333333
GO:0070062	extracellular exosome	11	11	7.2	0.00095	0.0201632653061224
GO:0009528	plastid inner membrane	84	67	54.95	0.00098	0.020384
GO:0016459	myosin complex	19	19	12.43	0.00114	0.023
GO:0098807	chloroplast thylakoid membrane protein c...	16	16	10.47	0.00115	0.023
GO:0009524	phragmoplast	94	75	61.49	0.00171	0.0335547169811321
GO:0098590	plasma membrane region	58	48	37.94	0.00200	0.0381963636363636
GO:0033178	proton-transporting two-sector ATPase co...	25	22	16.35	0.00202	0.0381963636363636
GO:0048475	coated membrane	65	53	42.52	0.00229	0.0425285714285714
GO:0045261	proton-transporting ATP synthase complex...	15	14	9.81	0.00237	0.0432421052631579
GO:0030136	clathrin-coated vesicle	65	55	42.52	0.00251	0.0450068965517241
GO:0098805	whole membrane	1022	700	668.55	0.00394	0.0694508474576271
GO:0000145	exocyst	37	35	24.2	0.00452	0.0783466666666667
GO:0009574	preprophase band	18	17	11.77	0.00509	0.0860063492063492
GO:0032993	protein-DNA complex	99	81	64.76	0.00514	0.0860063492063492
GO:0005669	transcription factor TFIID complex	20	19	13.08	0.00521	0.0860063492063492
GO:0031968	organelle outer membrane	122	97	79.81	0.00678	0.110175
GO:0012506	vesicle membrane	105	80	68.69	0.00740	0.1184
GO:0009507	chloroplast	2532	1909	1656.32	0.00764	0.120387878787879
