GO.ID	Term	Annotated	Significant	Expected	parentchildFisher	parentchildFisher_fdr
GO:0009987	cellular process	14843	8196	7917.95	1e-30	6.02e-27
GO:0006793	phosphorus metabolic process	2316	1545	1235.46	4.4e-30	1.3244e-26
GO:0006807	nitrogen compound metabolic process	8939	5090	4768.48	1.0e-27	2.00666666666667e-24
GO:0044237	cellular metabolic process	10480	5919	5590.52	1.3e-22	1.9565e-19
GO:0036211	protein modification process	2849	1811	1519.79	2.2e-21	2.6488e-18
GO:0006468	protein phosphorylation	1222	897	651.87	8.0e-21	8.02666666666667e-18
GO:0006996	organelle organization	1818	1218	969.81	2.3e-19	1.978e-16
GO:0009617	response to bacterium	490	327	261.39	1.8e-18	1.3545e-15
GO:0071704	organic substance metabolic process	10988	6075	5861.51	4.9e-18	3.27755555555556e-15
GO:0042742	defense response to bacterium	419	278	223.51	9.1e-18	5.4782e-15
GO:0050896	response to stimulus	6130	3537	3270.03	1.3e-17	7.11454545454545e-15
GO:0065007	biological regulation	6076	3507	3241.22	1.6e-17	8.02666666666667e-15
GO:0007049	cell cycle	651	462	347.27	2.6e-17	1.204e-14
GO:0044238	primary metabolic process	10252	5703	5468.9	3.5e-17	1.505e-14
GO:0051179	localization	2927	1760	1561.4	3.6e-16	1.4448e-13
GO:0050789	regulation of biological process	5413	3131	2887.55	8.3e-16	3.122875e-13
GO:0007017	microtubule-based process	222	179	118.43	1.0e-15	3.54117647058824e-13
GO:0043412	macromolecule modification	3258	2016	1737.97	1.7e-15	5.68555555555556e-13
GO:0022402	cell cycle process	470	340	250.72	6.5e-15	2.05947368421053e-12
GO:0016192	vesicle-mediated transport	499	358	266.19	9.9e-15	2.9799e-12
GO:0048519	negative regulation of biological proces...	1128	724	601.73	1.8e-14	5.16e-12
GO:0006928	movement of cell or subcellular componen...	101	90	53.88	1.4e-13	3.83090909090909e-11
GO:0009892	negative regulation of metabolic process	720	482	384.08	1.9e-13	4.97304347826087e-11
GO:0006396	RNA processing	882	581	470.5	1.2e-12	3.01e-10
GO:0016071	mRNA metabolic process	561	387	299.26	1.5e-12	3.612e-10
GO:0051716	cellular response to stimulus	2856	1735	1523.52	2.6e-12	6.02e-10
GO:0071840	cellular component organization or bioge...	3304	1997	1762.51	3.7e-12	8.24962962962963e-10
GO:0010629	negative regulation of gene expression	547	382	291.8	6.1e-12	1.3115e-09
GO:0006464	cellular protein modification process	2849	1811	1519.79	1.2e-11	2.49103448275862e-09
GO:0045184	establishment of protein localization	870	604	464.1	1.5e-11	3.01e-09
GO:0016310	phosphorylation	1576	1118	840.71	1.6e-11	3.10709677419355e-09
GO:0051301	cell division	418	294	222.98	9.5e-11	1.7871875e-08
GO:0051640	organelle localization	163	137	86.95	1.5e-10	2.73636363636364e-08
GO:0009628	response to abiotic stimulus	2091	1322	1115.44	1.6e-10	2.83294117647059e-08
GO:0051234	establishment of localization	2721	1679	1451.51	3.3e-10	5.676e-08
GO:0044267	cellular protein metabolic process	3963	2389	2114.05	5.3e-10	8.86277777777778e-08
GO:0019538	protein metabolic process	4350	2557	2320.49	2.6e-09	4.23027027027027e-07
GO:0010605	negative regulation of macromolecule met...	668	449	356.34	2.8e-09	4.43578947368421e-07
GO:0044260	cellular macromolecule metabolic process	6854	3964	3656.24	5.2e-09	8.02666666666667e-07
GO:0009737	response to abscisic acid	616	421	328.6	6.1e-09	9.1805e-07
GO:0042886	amide transport	901	618	480.64	8.4e-09	1.23336585365854e-06
GO:0140352	export from cell	117	94	62.41	9.8e-09	1.40466666666667e-06
GO:0015833	peptide transport	887	610	473.17	1.3e-08	1.77863636363636e-06
GO:0032501	multicellular organismal process	2953	1713	1575.27	1.3e-08	1.77863636363636e-06
GO:0016458	gene silencing	182	137	97.09	1.4e-08	1.83217391304348e-06
GO:0006096	glycolytic process	72	59	38.41	1.4e-08	1.83217391304348e-06
GO:0032502	developmental process	3189	1842	1701.16	1.7e-08	2.17744680851064e-06
GO:1901564	organonitrogen compound metabolic proces...	5541	3206	2955.83	2.8e-08	3.51166666666667e-06
GO:1903507	negative regulation of nucleic acid-temp...	281	194	149.9	5.6e-08	6.88e-06
GO:0051649	establishment of localization in cell	742	507	395.82	6.7e-08	7.90862745098039e-06
GO:2000113	negative regulation of cellular macromol...	345	234	184.04	6.7e-08	7.90862745098039e-06
GO:0031327	negative regulation of cellular biosynth...	366	248	195.24	7.1e-08	8.21961538461539e-06
GO:0018209	peptidyl-serine modification	82	76	43.74	8.3e-08	9.42754716981132e-06
GO:0045087	innate immune response	351	212	187.24	1.3e-07	1.44925925925926e-05
GO:1902679	negative regulation of RNA biosynthetic ...	281	194	149.9	1.5e-07	1.6125e-05
GO:0010558	negative regulation of macromolecule bio...	347	236	185.11	1.5e-07	1.6125e-05
GO:0022406	membrane docking	53	47	28.27	1.6e-07	1.68982456140351e-05
GO:0051641	cellular localization	965	609	514.78	1.7e-07	1.76448275862069e-05
GO:0033554	cellular response to stress	1017	653	542.52	2.0e-07	2.04067796610169e-05
GO:0051253	negative regulation of RNA metabolic pro...	290	202	154.7	3.1e-07	3.11033333333333e-05
GO:0048583	regulation of response to stimulus	677	445	361.14	3.6e-07	3.5527868852459e-05
GO:0097305	response to alcohol	620	425	330.74	4.0e-07	3.88387096774194e-05
GO:0009890	negative regulation of biosynthetic proc...	371	249	197.91	5.9e-07	5.63777777777778e-05
GO:0040007	growth	629	395	335.54	6.8e-07	6.39625e-05
