GO.ID	Term	Annotated	Significant	Expected	parentchildFisher	parentchildFisher_fdr
GO:0006468	protein phosphorylation	1222	1119	812.38	1e-30	1.00333333333333e-27
GO:0044237	cellular metabolic process	10480	7425	6967.04	1e-30	1.00333333333333e-27
GO:0006793	phosphorus metabolic process	2316	1874	1539.66	1e-30	1.00333333333333e-27
GO:0036211	protein modification process	2849	2238	1894	1e-30	1.00333333333333e-27
GO:0006807	nitrogen compound metabolic process	8939	6421	5942.6	1e-30	1.00333333333333e-27
GO:0009987	cellular process	14843	10138	9867.54	1e-30	1.00333333333333e-27
GO:0050789	regulation of biological process	5413	3915	3598.53	1.3e-28	1.118e-25
GO:0009617	response to bacterium	490	389	325.75	3.0e-28	2.2575e-25
GO:0042742	defense response to bacterium	419	335	278.55	3.7e-27	2.47488888888889e-24
GO:0044238	primary metabolic process	10252	7256	6815.47	3.5e-26	2.107e-23
GO:0065007	biological regulation	6076	4346	4039.29	2.1e-25	1.14927272727273e-22
GO:0071704	organic substance metabolic process	10988	7724	7304.76	6.5e-25	3.26083333333333e-22
GO:0006464	cellular protein modification process	2849	2238	1894	4.0e-24	1.763e-21
GO:0016310	phosphorylation	1576	1366	1047.72	4.1e-24	1.763e-21
GO:0044260	cellular macromolecule metabolic process	6854	5062	4556.5	7.7e-23	3.09026666666667e-20
GO:0008152	metabolic process	12346	8488	8207.55	1.7e-22	6.39625e-20
GO:0043170	macromolecule metabolic process	8354	6044	5553.69	7.1e-17	2.51423529411765e-14
GO:0071840	cellular component organization or bioge...	3304	2442	2196.48	1.0e-15	3.34444444444445e-13
GO:0051716	cellular response to stimulus	2856	2115	1898.65	1.7e-15	5.38631578947368e-13
GO:0007049	cell cycle	651	532	432.78	2.3e-15	6.923e-13
GO:0006996	organelle organization	1818	1438	1208.6	2.8e-14	8.02666666666667e-12
GO:0019222	regulation of metabolic process	3280	2413	2180.53	3.0e-14	8.20909090909091e-12
GO:0022402	cell cycle process	470	390	312.45	1.7e-13	4.44956521739130e-11
GO:0033554	cellular response to stress	1017	794	676.1	7.6e-13	1.90633333333333e-10
GO:0045087	innate immune response	351	258	233.34	7.4e-12	1.78192e-09
GO:0002229	defense response to oomycetes	78	72	51.85	8.9e-12	2.06069230769231e-09
GO:0032502	developmental process	3189	2278	2120.03	2.1e-11	4.68222222222222e-09
GO:0050794	regulation of cellular process	4801	3453	3191.68	5.2e-11	1.118e-08
GO:0048519	negative regulation of biological proces...	1128	847	749.89	5.8e-11	1.204e-08
GO:0043412	macromolecule modification	3258	2484	2165.9	9.0e-11	1.806e-08
GO:0032501	multicellular organismal process	2953	2111	1963.14	9.8e-11	1.90309677419355e-08
GO:0051301	cell division	418	342	277.88	1.9e-10	3.574375e-08
GO:0050896	response to stimulus	6130	4256	4075.19	6.7e-10	1.22224242424242e-07
GO:0015833	peptide transport	887	636	589.67	1.3e-09	2.30176470588235e-07
GO:0007017	microtubule-based process	222	190	147.58	2.0e-09	3.44e-07
GO:0051640	organelle localization	163	142	108.36	2.5e-09	4.18055555555556e-07
GO:0009892	negative regulation of metabolic process	720	562	478.65	6.5e-09	1.05756756756757e-06
GO:0009628	response to abiotic stimulus	2091	1548	1390.08	8.4e-09	1.33073684210526e-06
GO:0010629	negative regulation of gene expression	547	445	363.64	2.2e-08	3.39589743589744e-06
GO:0006259	DNA metabolic process	544	450	361.65	3.2e-08	4.816e-06
GO:0002239	response to oomycetes	99	84	65.81	4.7e-08	6.9009756097561e-06
GO:0051656	establishment of organelle localization	95	86	63.16	5.6e-08	7.84e-06
GO:0019538	protein metabolic process	4350	3186	2891.86	5.6e-08	7.84e-06
GO:0051234	establishment of localization	2721	1823	1808.91	1.1e-07	1.505e-05
GO:0006928	movement of cell or subcellular componen...	101	91	67.14	2.0e-07	2.67555555555556e-05
GO:0023052	signaling	1839	1318	1222.56	2.6e-07	3.40260869565217e-05
GO:0032774	RNA biosynthetic process	2273	1666	1511.08	2.9e-07	3.71446808510638e-05
GO:2000112	regulation of cellular macromolecule bio...	2329	1711	1548.31	4.0e-07	5.01666666666667e-05
GO:0031347	regulation of defense response	237	182	157.56	5.3e-07	6.51142857142857e-05
GO:0006325	chromatin organization	435	363	289.19	5.5e-07	6.622e-05
GO:0051253	negative regulation of RNA metabolic pro...	290	241	192.79	7.1e-07	8.38078431372549e-05
GO:0031326	regulation of cellular biosynthetic proc...	2432	1781	1616.78	7.5e-07	8.68269230769231e-05
GO:0016458	gene silencing	182	153	120.99	8.5e-07	9.65471698113208e-05
GO:0031327	negative regulation of cellular biosynth...	366	294	243.31	1.1e-06	0.00012262962962963
GO:1900150	regulation of defense response to fungus	33	29	21.94	1.4e-06	0.000153236363636364
GO:0010468	regulation of gene expression	2589	1926	1721.15	1.6e-06	0.000172
GO:0009615	response to virus	82	69	54.51	1.7e-06	0.000179543859649123
GO:0031323	regulation of cellular metabolic process	2974	2179	1977.1	2.0e-06	0.000207586206896552
GO:0010558	negative regulation of macromolecule bio...	347	281	230.68	3.1e-06	0.000316305084745763
GO:0000003	reproduction	1798	1280	1195.3	3.6e-06	0.00035527868852459
GO:0006974	cellular response to DNA damage stimulus	376	322	249.96	3.6e-06	0.00035527868852459
GO:0009606	tropism	123	101	81.77	3.8e-06	0.000368967741935484
GO:0006396	RNA processing	882	673	586.35	3.9e-06	0.000372666666666667
GO:2000113	negative regulation of cellular macromol...	345	279	229.35	4.0e-06	0.00037625
GO:0048511	rhythmic process	147	122	97.72	5.4e-06	0.000500123076923077
GO:0045184	establishment of protein localization	870	625	578.37	6.2e-06	0.000565515151515151
GO:0045934	negative regulation of nucleobase-contai...	307	254	204.09	6.8e-06	0.000610985074626866
GO:0022414	reproductive process	1789	1271	1189.32	7.3e-06	0.000645623188405797
GO:0042886	amide transport	901	641	598.98	7.4e-06	0.000645623188405797
GO:0009890	negative regulation of biosynthetic proc...	371	295	246.64	7.7e-06	0.0006622
GO:0071824	protein-DNA complex subunit organization	130	112	86.42	9.1e-06	0.000771577464788732
GO:0009889	regulation of biosynthetic process	2458	1797	1634.06	1.4e-05	0.00117055555555556
GO:0007018	microtubule-based movement	69	68	45.87	1.6e-05	0.00131945205479452
GO:1903046	meiotic cell cycle process	154	133	102.38	1.7e-05	0.00138297297297297
GO:0046856	phosphatidylinositol dephosphorylation	25	25	16.62	2.2e-05	0.00176586666666667
GO:0000165	MAPK cascade	32	32	21.27	2.4e-05	0.00190105263157895
GO:0051649	establishment of localization in cell	742	535	493.28	2.5e-05	0.00195454545454545
GO:0006139	nucleobase-containing compound metabolic...	4314	3128	2867.92	2.8e-05	0.00213367088607595
GO:0031497	chromatin assembly	85	77	56.51	2.8e-05	0.00213367088607595
GO:0048518	positive regulation of biological proces...	1302	931	865.56	3.1e-05	0.00233275
GO:0006757	ATP generation from ADP	72	62	47.87	3.2e-05	0.00237827160493827
GO:0048523	negative regulation of cellular process	756	565	502.58	4.1e-05	0.00301
GO:0006816	calcium ion transport	59	53	39.22	4.2e-05	0.00304626506024096
GO:0051252	regulation of RNA metabolic process	2176	1611	1446.59	4.3e-05	0.00308166666666667
GO:0018209	peptidyl-serine modification	82	77	54.51	4.4e-05	0.00311623529411765
GO:0010605	negative regulation of macromolecule met...	668	526	444.08	4.8e-05	0.00336
GO:0009311	oligosaccharide metabolic process	101	84	67.14	6.8e-05	0.00466719101123596
GO:1903507	negative regulation of nucleic acid-temp...	281	232	186.81	6.9e-05	0.00466719101123596
