GO.ID	Term	Annotated	Significant	Expected	parentchildFisher	parentchildFisher_fdr
GO:0005886	plasma membrane	3065	2109	1597.52	1e-30	1.48571428571429e-28
GO:0005622	intracellular	13799	7875	7192.22	1e-30	1.48571428571429e-28
GO:0005829	cytosol	2261	1603	1178.46	1e-30	1.48571428571429e-28
GO:0043226	organelle	12227	6904	6372.87	1e-30	1.48571428571429e-28
GO:0071944	cell periphery	3781	2403	1970.71	1e-30	1.48571428571429e-28
GO:0005737	cytoplasm	9752	5621	5082.87	1e-30	1.48571428571429e-28
GO:0032991	protein-containing complex	2946	1842	1535.49	1e-30	1.48571428571429e-28
GO:0031974	membrane-enclosed lumen	1289	863	671.84	6.6e-29	8.58e-27
GO:0048046	apoplast	518	243	269.99	2.2e-26	2.54222222222222e-24
GO:0005634	nucleus	5478	3363	2855.21	1.3e-24	1.352e-22
GO:0030054	cell junction	1031	693	537.37	5.8e-24	5.48363636363636e-22
GO:0055044	symplast	1027	689	535.29	1.7e-23	1.47333333333333e-21
GO:0099080	supramolecular complex	326	254	169.92	3.0e-22	2.4e-20
GO:0043228	non-membrane-bounded organelle	1851	1212	964.77	6.7e-18	4.97714285714286e-16
GO:0016021	integral component of membrane	6447	3065	3360.26	1.2e-17	8.32e-16
GO:0043232	intracellular non-membrane-bounded organ...	1851	1212	964.77	1.1e-16	7.15e-15
GO:0098805	whole membrane	1022	664	532.68	2.6e-16	1.59058823529412e-14
GO:0043233	organelle lumen	1289	863	671.84	2.9e-16	1.67555555555556e-14
GO:0009532	plastid stroma	769	510	400.81	3.6e-16	1.97052631578947e-14
GO:0070013	intracellular organelle lumen	1289	863	671.84	2.6e-15	1.352e-13
GO:0031981	nuclear lumen	1054	742	549.36	1.0e-12	4.95238095238095e-11
GO:0005654	nucleoplasm	464	316	241.84	1.3e-12	6.14545454545455e-11
GO:0098588	bounding membrane of organelle	1414	868	737	8.5e-12	3.84347826086957e-10
GO:0012505	endomembrane system	2280	1331	1188.37	1.3e-10	5.63333333333333e-09
GO:0005875	microtubule associated complex	86	79	44.82	7.8e-10	3.2448e-08
GO:0010287	plastoglobule	79	67	41.18	9.8e-10	3.92e-08
GO:0009524	phragmoplast	94	77	48.99	1.6e-09	6.16296296296296e-08
GO:0005856	cytoskeleton	417	322	217.35	3.1e-09	1.15142857142857e-07
GO:0016604	nuclear body	113	89	58.9	4.0e-09	1.43448275862069e-07
GO:0009526	plastid envelope	724	479	377.36	5.3e-09	1.83733333333333e-07
GO:0031984	organelle subcompartment	878	537	457.63	2.5e-08	8.38709677419355e-07
GO:0010319	stromule	36	34	18.76	3.7e-08	1.2025e-06
GO:0009504	cell plate	35	33	18.24	6.7e-08	2.11151515151515e-06
GO:0009570	chloroplast stroma	750	501	390.91	3.4e-07	1.04e-05
GO:0070062	extracellular exosome	11	11	5.73	5.9e-07	1.75314285714286e-05
GO:0031975	envelope	1223	720	637.44	6.6e-07	1.90666666666667e-05
GO:0042788	polysomal ribosome	96	71	50.04	1.2e-06	3.37297297297297e-05
GO:0005887	integral component of plasma membrane	152	100	79.22	2.0e-06	5.47368421052632e-05
GO:0098590	plasma membrane region	58	48	30.23	2.1e-06	5.6e-05
GO:0009579	thylakoid	596	366	310.64	2.2e-06	5.72e-05
GO:0005741	mitochondrial outer membrane	55	40	28.67	3.6e-06	9.13170731707317e-05
GO:0009941	chloroplast envelope	703	466	366.41	4.9e-06	0.000121333333333333
GO:0048475	coated membrane	65	52	33.88	5.6e-06	0.000135441860465116
GO:0030133	transport vesicle	60	51	31.27	7.4e-06	0.000174909090909091
GO:0005938	cell cortex	94	74	48.99	1.1e-05	0.000254222222222222
GO:0031965	nuclear membrane	60	49	31.27	2.2e-05	0.000497391304347826
GO:0060187	cell pole	20	19	10.42	4.3e-05	0.000951489361702128
GO:0019867	outer membrane	123	87	64.11	4.4e-05	0.000953333333333333
GO:0097708	intracellular vesicle	634	406	330.45	5.4e-05	0.00112156862745098
