mf_experimental_vs_all	mf_predOr_vs_all	mf_union_exp_predOr_vs_all	cc_experimental_vs_all	cc_predOr_vs_all	cc_union_exp_predOr_vs_all	bp_experimental_vs_all	bp_predOr_vs_all	bp_union_exp_predOr_vs_all
GO:0097367_carbohydrate derivative binding	1	1	1	0	0	0	0	0	0
GO:0036094_small molecule binding	1	1	1	0	0	0	0	0	0
GO:0016817_hydrolase activity, acting on acid anhyd...	1	1	1	0	0	0	0	0	0
GO:0043168_anion binding	1	1	1	0	0	0	0	0	0
GO:0005488_binding	1	1	1	0	0	0	0	0	0
GO:1901265_nucleoside phosphate binding	1	1	1	0	0	0	0	0	0
GO:0097159_organic cyclic compound binding	1	1	1	0	0	0	0	0	0
GO:0016772_transferase activity, transferring phosp...	1	1	1	0	0	0	0	0	0
GO:1901363_heterocyclic compound binding	1	1	1	0	0	0	0	0	0
GO:0004672_protein kinase activity	1	1	1	0	0	0	0	0	0
GO:0003723_RNA binding	1	1	1	0	0	0	0	0	0
GO:0043167_ion binding	1	1	1	0	0	0	0	0	0
GO:0140096_catalytic activity, acting on a protein	1	1	1	0	0	0	0	0	0
GO:0008092_cytoskeletal protein binding	1	1	1	0	0	0	0	0	0
GO:0016773_phosphotransferase activity, alcohol gro...	1	1	1	0	0	0	0	0	0
GO:0016799_hydrolase activity, hydrolyzing N-glycos...	1	1	1	0	0	0	0	0	0
GO:0000166_nucleotide binding	1	1	1	0	0	0	0	0	0
GO:0035639_purine ribonucleoside triphosphate bindi...	1	1	1	0	0	0	0	0	0
GO:0016740_transferase activity	1	1	1	0	0	0	0	0	0
GO:0016301_kinase activity	1	1	1	0	0	0	0	0	0
GO:0003887_DNA-directed DNA polymerase activity	1	1	1	0	0	0	0	0	0
GO:0005516_calmodulin binding	1	1	1	0	0	0	0	0	0
GO:0032553_ribonucleotide binding	1	1	1	0	0	0	0	0	0
GO:0005085_guanyl-nucleotide exchange factor activi...	1	1	1	0	0	0	0	0	0
GO:0042393_histone binding	1	1	1	0	0	0	0	0	0
GO:0003729_mRNA binding	1	0	0	0	0	0	0	0	0
GO:0042803_protein homodimerization activity	1	0	1	0	0	0	0	0	0
GO:0016830_carbon-carbon lyase activity	1	0	0	0	0	0	0	0	0
GO:0019904_protein domain specific binding	1	0	0	0	0	0	0	0	0
GO:0003774_motor activity	1	0	0	0	0	0	0	0	0
GO:0060089_molecular transducer activity	1	1	1	0	0	0	0	0	0
GO:0008047_enzyme activator activity	1	0	1	0	0	0	0	0	0
GO:0015399_primary active transmembrane transporter...	1	1	1	0	0	0	0	0	0
GO:0060589_nucleoside-triphosphatase regulator acti...	1	0	0	0	0	0	0	0	0
GO:0042802_identical protein binding	1	1	1	0	0	0	0	0	0
GO:0019899_enzyme binding	1	0	0	0	0	0	0	0	0
GO:0017076_purine nucleotide binding	1	1	1	0	0	0	0	0	0
GO:0042578_phosphoric ester hydrolase activity	1	1	1	0	0	0	0	0	0
GO:0016614_oxidoreductase activity, acting on CH-OH...	1	0	0	0	0	0	0	0	0
GO:0016759_cellulose synthase activity	1	1	1	0	0	0	0	0	0
GO:0008270_zinc ion binding	1	0	1	0	0	0	0	0	0
GO:0097472_cyclin-dependent protein kinase activity	1	0	0	0	0	0	0	0	0
GO:0008242_omega peptidase activity	1	0	0	0	0	0	0	0	0
GO:0005215_transporter activity	1	0	0	0	0	0	0	0	0
GO:0005216_ion channel activity	1	1	1	0	0	0	0	0	0
GO:0045182_translation regulator activity	1	0	0	0	0	0	0	0	0
GO:0140297_DNA-binding transcription factor binding	1	0	0	0	0	0	0	0	0
GO:0140034_methylation-dependent protein binding	1	0	0	0	0	0	0	0	0
GO:0004525_ribonuclease III activity	1	0	0	0	0	0	0	0	0
GO:0004693_cyclin-dependent protein serine/threonin...	1	0	0	0	0	0	0	0	0
GO:0004564_beta-fructofuranosidase activity	1	0	0	0	0	0	0	0	0
GO:0015079_potassium ion transmembrane transporter ...	1	0	0	0	0	0	0	0	0
GO:0090599_alpha-glucosidase activity	1	0	0	0	0	0	0	0	0
GO:0051020_GTPase binding	1	1	1	0	0	0	0	0	0
GO:0030276_clathrin binding	1	0	0	0	0	0	0	0	0
GO:0070122_isopeptidase activity	1	0	0	0	0	0	0	0	0
GO:0008237_metallopeptidase activity	1	0	0	0	0	0	0	0	0
