GO.ID	Term	Annotated	Significant	Expected	parentchildFisher	parentchildFisher_fdr
GO:0097367	carbohydrate derivative binding	2899	2097	1545.12	1e-30	2.82272727272727e-28
GO:0036094	small molecule binding	3384	2370	1803.61	1e-30	2.82272727272727e-28
GO:0016817	hydrolase activity, acting on acid anhyd...	908	673	483.95	1e-30	2.82272727272727e-28
GO:0043168	anion binding	3364	2355	1792.95	1e-30	2.82272727272727e-28
GO:0005488	binding	13302	7567	7089.73	1e-30	2.82272727272727e-28
GO:1901265	nucleoside phosphate binding	3172	2268	1690.62	1e-30	2.82272727272727e-28
GO:0097159	organic cyclic compound binding	7396	4562	3941.94	1e-30	2.82272727272727e-28
GO:0016772	transferase activity, transferring phosp...	1756	1200	935.92	1e-30	2.82272727272727e-28
GO:1901363	heterocyclic compound binding	7377	4548	3931.81	1e-30	2.82272727272727e-28
GO:0004672	protein kinase activity	1119	835	596.41	1e-30	2.82272727272727e-28
GO:0003723	RNA binding	1390	977	740.85	1e-30	2.82272727272727e-28
GO:0043167	ion binding	6540	3990	3485.71	2.0e-21	5.175e-19
GO:0140096	catalytic activity, acting on a protein	2637	1615	1405.47	6.9e-21	1.64803846153846e-18
GO:0008092	cytoskeletal protein binding	300	243	159.89	1.2e-18	2.66142857142857e-16
GO:0016773	phosphotransferase activity, alcohol gro...	1275	942	679.55	1.0e-15	2.07e-13
GO:0016799	hydrolase activity, hydrolyzing N-glycos...	137	92	73.02	6.8e-14	1.319625e-11
GO:0000166	nucleotide binding	3172	2268	1690.62	4.4e-12	8.03647058823529e-10
GO:0035639	purine ribonucleoside triphosphate bindi...	2725	1985	1452.38	1.8e-10	3.105e-08
GO:0016740	transferase activity	4149	2374	2211.34	2.0e-10	3.26842105263158e-08
GO:0016301	kinase activity	1486	1061	792.01	2.3e-10	3.57075e-08
GO:0003887	DNA-directed DNA polymerase activity	26	21	13.86	6.8e-10	1.00542857142857e-07
GO:0005516	calmodulin binding	184	143	98.07	5.3e-09	7.48022727272727e-07
GO:0032553	ribonucleotide binding	2858	2080	1523.26	6.2e-09	8.37e-07
GO:0005085	guanyl-nucleotide exchange factor activi...	50	44	26.65	2.0e-08	2.5875e-06
GO:0042393	histone binding	98	82	52.23	2.7e-08	3.3534e-06
GO:0003729	mRNA binding	418	333	222.79	2.1e-07	2.50788461538462e-05
GO:0042803	protein homodimerization activity	194	132	103.4	2.8e-07	3.22e-05
GO:0016830	carbon-carbon lyase activity	110	75	58.63	3.4e-07	3.77035714285714e-05
GO:0019904	protein domain specific binding	83	69	44.24	5.8e-07	6.21e-05
GO:0003774	motor activity	90	85	47.97	8.8e-07	9.108e-05
GO:0060089	molecular transducer activity	309	206	164.69	1.0e-06	0.000100161290322581
GO:0008047	enzyme activator activity	141	97	75.15	1.4e-06	0.00013584375
