GO.ID	Term	Annotated	Significant	Expected	parentchildFisher	parentchildFisher_fdr
GO:0097367	carbohydrate derivative binding	2899	2425	1949.93	1e-30	2.5875e-28
GO:0004672	protein kinase activity	1119	1043	752.66	1e-30	2.5875e-28
GO:0036094	small molecule binding	3384	2757	2276.15	1e-30	2.5875e-28
GO:0016772	transferase activity, transferring phosp...	1756	1480	1181.12	1e-30	2.5875e-28
GO:0005488	binding	13302	9412	8947.19	1e-30	2.5875e-28
GO:0097159	organic cyclic compound binding	7396	5642	4974.7	1e-30	2.5875e-28
GO:1901363	heterocyclic compound binding	7377	5624	4961.92	1e-30	2.5875e-28
GO:0043168	anion binding	3364	2737	2262.69	1e-30	2.5875e-28
GO:0016817	hydrolase activity, acting on acid anhyd...	908	752	610.74	1e-30	2.5875e-28
GO:0140096	catalytic activity, acting on a protein	2637	2034	1773.7	1e-30	2.5875e-28
GO:0016773	phosphotransferase activity, alcohol gro...	1275	1163	857.59	1e-30	2.5875e-28
GO:1901265	nucleoside phosphate binding	3172	2627	2133.55	1e-30	2.5875e-28
GO:0060089	molecular transducer activity	309	278	207.84	3.4e-21	8.12076923076923e-19
GO:0016301	kinase activity	1486	1309	999.51	8.1e-21	1.79646428571429e-18
GO:0035639	purine ribonucleoside triphosphate bindi...	2725	2304	1832.89	1.0e-18	2.07e-16
GO:0005524	ATP binding	2451	2119	1648.59	1.1e-14	2.1346875e-12
GO:0032559	adenyl ribonucleotide binding	2553	2196	1717.2	2.7e-13	4.93147058823529e-11
GO:0043167	ion binding	6540	4816	4398.93	3.6e-13	6.21e-11
GO:0030554	adenyl nucleotide binding	2560	2201	1721.91	5.5e-13	8.98815789473684e-11
GO:0000166	nucleotide binding	3172	2627	2133.55	8.6e-13	1.33515e-10
GO:0016740	transferase activity	4149	2969	2790.7	1.1e-12	1.62642857142857e-10
GO:0032553	ribonucleotide binding	2858	2405	1922.35	2.2e-12	3.105e-10
GO:0005516	calmodulin binding	184	168	123.76	3.7e-12	4.995e-10
GO:0003682	chromatin binding	161	148	108.29	3.2e-11	4.14e-09
GO:0038023	signaling receptor activity	280	264	188.33	9.1e-10	1.13022e-07
GO:0008092	cytoskeletal protein binding	300	255	201.79	1.9e-09	2.26903846153846e-07
GO:0042393	histone binding	98	92	65.92	8.1e-09	9.315e-07
GO:0017076	purine nucleotide binding	2837	2389	1908.22	9.7e-09	1.07566071428571e-06
GO:0016759	cellulose synthase activity	27	27	18.16	2.3e-08	2.46258620689655e-06
GO:0004674	protein serine/threonine kinase activity	909	867	611.41	5.8e-08	6.003e-06
GO:0016799	hydrolase activity, hydrolyzing N-glycos...	137	105	92.15	1.1e-07	1.06734375e-05
GO:0005216	ion channel activity	149	123	100.22	1.1e-07	1.06734375e-05
GO:0015399	primary active transmembrane transporter...	200	162	134.52	3.2e-07	3.01090909090909e-05
GO:0016760	cellulose synthase (UDP-forming) activit...	27	27	18.16	5.1e-07	4.6575e-05
GO:0051020	GTPase binding	123	110	82.73	7.7e-07	6.831e-05
GO:0042802	identical protein binding	340	277	228.69	1.7e-06	0.000146625
GO:0003887	DNA-directed DNA polymerase activity	26	23	17.49	3.2e-06	0.000268540540540541
GO:0140110	transcription regulator activity	1738	1256	1169.01	7.3e-06	0.000596486842105263
GO:0052866	phosphatidylinositol phosphate phosphata...	28	28	18.83	8.3e-06	0.00065205
GO:0140030	modification-dependent protein binding	49	47	32.96	8.4e-06	0.00065205
GO:0005261	cation channel activity	104	90	69.95	9.1e-06	0.00067275
GO:0003724	RNA helicase activity	36	35	24.21	9.1e-06	0.00067275
GO:0004175	endopeptidase activity	363	251	244.16	2.1e-05	0.00151639534883721
GO:0016887	ATPase activity	601	523	404.24	2.5e-05	0.00176420454545455
GO:0005085	guanyl-nucleotide exchange factor activi...	50	47	33.63	3.0e-05	0.00207
GO:0003723	RNA binding	1390	1085	934.94	3.3e-05	0.0022275
GO:0000978	RNA polymerase II cis-regulatory region ...	41	35	27.58	6.7e-05	0.00442627659574468
GO:0042578	phosphoric ester hydrolase activity	389	264	261.65	0.00011	0.00697040816326531
GO:0017056	structural constituent of nuclear pore	24	23	16.14	0.00011	0.00697040816326531
GO:0008017	microtubule binding	151	142	101.57	0.00016	0.009936
GO:0004525	ribonuclease III activity	12	11	8.07	0.00022	0.0133941176470588
GO:0042054	histone methyltransferase activity	51	43	34.3	0.00023	0.0137336538461538
GO:0016702	oxidoreductase activity, acting on singl...	30	27	20.18	0.00024	0.0140603773584906
GO:0004252	serine-type endopeptidase activity	121	94	81.39	0.00025	0.014375
GO:0003774	motor activity	90	86	60.54	0.00027	0.0152427272727273
GO:0004888	transmembrane signaling receptor activit...	220	214	147.98	0.00029	0.0160794642857143
GO:0019199	transmembrane receptor protein kinase ac...	191	188	128.47	0.00030	0.0163421052631579
GO:0042803	protein homodimerization activity	194	155	130.49	0.00039	0.0208784482758621
GO:0008270	zinc ion binding	657	445	441.91	0.00040	0.0210508474576271
GO:0016645	oxidoreductase activity, acting on the C...	36	31	24.21	0.00041	0.0212175
GO:0008047	enzyme activator activity	141	105	94.84	0.00043	0.0218877049180328
GO:0008810	cellulase activity	28	23	18.83	0.00049	0.02415
GO:0015299	solute:proton antiporter activity	50	42	33.63	0.00049	0.02415
GO:0060589	nucleoside-triphosphatase regulator acti...	106	81	71.3	0.00064	0.03105
GO:0003729	mRNA binding	418	349	281.16	0.00070	0.0334384615384615
GO:0016835	carbon-oxygen lyase activity	169	121	113.67	0.00075	0.0352840909090909
GO:0044877	protein-containing complex binding	210	169	141.25	0.00082	0.0380014925373134
GO:0015079	potassium ion transmembrane transporter ...	58	50	39.01	0.00097	0.0442919117647059
GO:0022803	passive transmembrane transporter activi...	197	144	132.51	0.00104	0.0468
GO:0019904	protein domain specific binding	83	71	55.83	0.00114	0.0505671428571429
GO:0016888	endodeoxyribonuclease activity, producin...	12	11	8.07	0.00133	0.0581640845070423
GO:0032296	double-stranded RNA-specific ribonucleas...	12	11	8.07	0.00137	0.0586972602739726
GO:0022804	active transmembrane transporter activit...	549	373	369.27	0.00138	0.0586972602739726
GO:0035091	phosphatidylinositol binding	62	54	41.7	0.00143	0.060002027027027
GO:0004177	aminopeptidase activity	32	23	21.52	0.00150	0.0621
GO:0022836	gated channel activity	91	76	61.21	0.00170	0.0693584415584416
GO:0051539	4 iron, 4 sulfur cluster binding	104	73	69.95	0.00172	0.0693584415584416
GO:0046873	metal ion transmembrane transporter acti...	198	152	133.18	0.00211	0.0839942307692308
GO:0004527	exonuclease activity	115	82	77.35	0.00216	0.0848962025316456
GO:0016903	oxidoreductase activity, acting on the a...	61	47	41.03	0.00219	0.084999375
GO:0098772	molecular function regulator	2352	1641	1582	0.00287	0.110016666666667
GO:0004620	phospholipase activity	60	46	40.36	0.00292	0.110568292682927
GO:0016417	S-acyltransferase activity	36	30	24.21	0.00296	0.110732530120482
GO:0045182	translation regulator activity	191	146	128.47	0.00343	0.126026470588235
GO:0015631	tubulin binding	172	155	115.69	0.00345	0.126026470588235
GO:0051787	misfolded protein binding	16	16	10.76	0.00380	0.136334482758621
GO:0090599	alpha-glucosidase activity	14	12	9.42	0.00382	0.136334482758621
GO:0015085	calcium ion transmembrane transporter ac...	57	51	38.34	0.00444	0.156661363636364
GO:0019104	DNA N-glycosylase activity	24	23	16.14	0.00452	0.157692134831461
GO:0015298	solute:cation antiporter activity	54	44	36.32	0.00471	0.162495
GO:0140297	DNA-binding transcription factor binding	19	17	12.78	0.00484	0.165145054945055
GO:0004675	transmembrane receptor protein serine/th...	176	174	118.38	0.00534	0.180225
GO:0033612	receptor serine/threonine kinase binding	44	33	29.6	0.00560	0.186967741935484
GO:0019706	protein-cysteine S-palmitoyltransferase ...	24	19	16.14	0.00615	0.203146276595745
GO:0008409	5'-3' exonuclease activity	25	23	16.82	0.00642	0.209832631578947
GO:0008757	S-adenosylmethionine-dependent methyltra...	207	144	139.23	0.00660	0.21346875
GO:0030276	clathrin binding	37	33	24.89	0.00676	0.21638969072165
GO:0050664	oxidoreductase activity, acting on NAD(P...	11	11	7.4	0.00698	0.221152040816327
GO:0005509	calcium ion binding	264	197	177.57	0.00778	0.244009090909091
GO:0044183	protein folding chaperone	23	21	15.47	0.00786	0.244053
GO:0015318	inorganic molecular entity transmembrane...	699	463	470.16	0.00801	0.24624801980198
GO:0032451	demethylase activity	18	17	12.11	0.00848	0.258141176470588
GO:0022890	inorganic cation transmembrane transport...	444	309	298.64	0.00882	0.265716346153846
GO:0008237	metallopeptidase activity	106	77	71.3	0.00890	0.265716346153846
GO:0005319	lipid transporter activity	50	40	33.63	0.01033	0.305472857142857
