GO.ID	Term	Annotated	Significant	Expected	parentchildFisher	parentchildFisher_fdr
GO:0065007	biological regulation	6076	325	229.6	6.3e-15	3.7926e-11
GO:0019222	regulation of metabolic process	3280	188	123.94	3.8e-14	1.1438e-10
GO:0050789	regulation of biological process	5413	293	204.54	1.3e-13	2.60866666666667e-10
GO:0009892	negative regulation of metabolic process	720	64	27.21	4.3e-12	6.4715e-09
GO:0043484	regulation of RNA splicing	40	17	1.51	1.7e-11	2.0468e-08
GO:0048519	negative regulation of biological proces...	1128	89	42.62	2.3e-11	2.30766666666667e-08
GO:0050684	regulation of mRNA processing	44	17	1.66	9.9e-11	8.514e-08
GO:0080090	regulation of primary metabolic process	2825	163	106.75	1.7e-10	1.27925e-07
GO:0051641	cellular localization	965	79	36.46	2.7e-10	1.806e-07
GO:0051649	establishment of localization in cell	742	69	28.04	3.9e-10	2.3478e-07
GO:0006807	nitrogen compound metabolic process	8939	362	337.78	5.4e-10	2.95527272727273e-07
GO:0010605	negative regulation of macromolecule met...	668	62	25.24	1.5e-09	7.525e-07
GO:1903311	regulation of mRNA metabolic process	61	18	2.31	1.7e-09	7.87230769230769e-07
GO:0043170	macromolecule metabolic process	8354	351	315.67	3.2e-09	1.376e-06
GO:0050794	regulation of cellular process	4801	255	181.42	4.8e-09	1.9264e-06
GO:0031323	regulation of cellular metabolic process	2974	168	112.38	9.5e-09	3.50576470588235e-06
GO:0050896	response to stimulus	6130	301	231.64	9.9e-09	3.50576470588235e-06
GO:0016071	mRNA metabolic process	561	57	21.2	2.9e-08	9.69888888888889e-06
GO:0010467	gene expression	4026	219	152.13	3.3e-08	1.04557894736842e-05
GO:0006139	nucleobase-containing compound metabolic...	4314	209	163.01	3.6e-08	1.0836e-05
GO:0046907	intracellular transport	699	62	26.41	4.8e-08	1.376e-05
GO:0060255	regulation of macromolecule metabolic pr...	3022	175	114.19	1.0e-07	2.73636363636364e-05
GO:0097305	response to alcohol	620	64	23.43	1.2e-07	3.14086956521739e-05
GO:0016192	vesicle-mediated transport	499	45	18.86	1.7e-07	4.26416666666667e-05
GO:0006396	RNA processing	882	77	33.33	2.2e-07	5.2976e-05
GO:0009737	response to abscisic acid	616	63	23.28	4.2e-07	9.72461538461538e-05
GO:0048523	negative regulation of cellular process	756	58	28.57	7.2e-07	0.0001548
GO:0034641	cellular nitrogen compound metabolic pro...	5322	248	201.1	7.2e-07	0.0001548
GO:0048024	regulation of mRNA splicing, via spliceo...	33	16	1.25	7.7e-07	0.000159841379310345
GO:0009893	positive regulation of metabolic process	851	57	32.16	1.3e-06	0.000252451612903226
GO:0051171	regulation of nitrogen compound metaboli...	2758	156	104.22	1.3e-06	0.000252451612903226
GO:0010629	negative regulation of gene expression	547	55	20.67	1.5e-06	0.0002821875
GO:0045184	establishment of protein localization	870	68	32.87	2.1e-06	0.000383090909090909
GO:0051246	regulation of protein metabolic process	536	47	20.25	2.2e-06	0.000389529411764706
GO:0043043	peptide biosynthetic process	755	43	28.53	2.9e-06	0.0004988
GO:0031324	negative regulation of cellular metaboli...	499	41	18.86	3.8e-06	0.000635444444444444
GO:0033036	macromolecule localization	1251	86	47.27	4.0e-06	0.000650810810810811
GO:0051172	negative regulation of nitrogen compound...	450	39	17	5.6e-06	0.000887157894736842
GO:0031327	negative regulation of cellular biosynth...	366	31	13.83	6.5e-06	0.00100333333333333
GO:0032268	regulation of cellular protein metabolic...	519	45	19.61	7.2e-06	0.0010836
GO:0006996	organelle organization	1818	123	68.7	8.1e-06	0.00118931707317073
GO:0016458	gene silencing	182	21	6.88	9.4e-06	0.00134733333333333
GO:0051656	establishment of organelle localization	95	16	3.59	1.1e-05	0.00154
GO:0071840	cellular component organization or bioge...	3304	172	124.85	1.8e-05	0.002408
GO:0000380	alternative mRNA splicing, via spliceoso...	35	15	1.32	1.8e-05	0.002408
GO:0031399	regulation of protein modification proce...	260	26	9.82	1.9e-05	0.00248652173913044
GO:0009890	negative regulation of biosynthetic proc...	371	31	14.02	2.6e-05	0.00333021276595745
GO:0043085	positive regulation of catalytic activit...	214	28	8.09	2.7e-05	0.00338625
GO:0015833	peptide transport	887	67	33.52	3.0e-05	0.00368571428571429
GO:0010608	posttranscriptional regulation of gene e...	271	32	10.24	3.1e-05	0.0037324
GO:0048518	positive regulation of biological proces...	1302	78	49.2	3.2e-05	0.00377725490196078
GO:0033993	response to lipid	835	72	31.55	4.5e-05	0.00520961538461539
