GO.ID	Term	Annotated	Significant	Expected	parentchildFisher	parentchildFisher_fdr
GO:0019222	regulation of metabolic process	2551	188	135.74	2.5e-11	1.03428e-07
GO:0065007	biological regulation	4592	325	244.35	3.6e-11	1.03428e-07
GO:0043484	regulation of RNA splicing	37	17	1.97	1.7e-10	2.5857e-07
GO:0009892	negative regulation of metabolic process	578	64	30.76	1.8e-10	2.5857e-07
GO:0051641	cellular localization	720	79	38.31	6.6e-10	7.1825e-07
GO:0050789	regulation of biological process	4128	293	219.66	7.5e-10	7.1825e-07
GO:0048519	negative regulation of biological proces...	877	89	46.67	1.6e-09	1.29285e-06
GO:0050684	regulation of mRNA processing	42	17	2.23	1.8e-09	1.29285e-06
GO:0080090	regulation of primary metabolic process	2183	163	116.16	2.1e-09	1.34073333333333e-06
GO:0051649	establishment of localization in cell	583	69	31.02	8.4e-09	4.82664e-06
GO:1903311	regulation of mRNA metabolic process	55	18	2.93	1.2e-08	6.26836363636364e-06
GO:0010605	negative regulation of macromolecule met...	542	62	28.84	1.4e-08	6.70366666666667e-06
GO:0010467	gene expression	3064	219	163.04	2.5e-08	1.105e-05
GO:0031323	regulation of cellular metabolic process	2306	168	122.71	2.1e-07	8.619e-05
GO:0043170	macromolecule metabolic process	6362	351	338.53	2.3e-07	8.81053333333333e-05
GO:0050794	regulation of cellular process	3651	255	194.28	3.0e-07	0.00010478
GO:0016071	mRNA metabolic process	455	57	24.21	3.1e-07	0.00010478
GO:0046907	intracellular transport	542	62	28.84	3.8e-07	0.000120968421052632
GO:0006139	nucleobase-containing compound metabolic...	3303	209	175.76	4.0e-07	0.000120968421052632
GO:0097305	response to alcohol	499	64	26.55	5.0e-07	0.000138426363636364
GO:0050896	response to stimulus	4525	301	240.78	5.2e-07	0.000138426363636364
GO:0006807	nitrogen compound metabolic process	6776	362	360.56	5.3e-07	0.000138426363636364
GO:0060255	regulation of macromolecule metabolic pr...	2357	175	125.42	5.8e-07	0.000144899130434783
GO:0034641	cellular nitrogen compound metabolic pro...	3988	248	212.21	7.5e-07	0.0001795625
GO:0016192	vesicle-mediated transport	392	45	20.86	1.2e-06	0.000275808
GO:0051246	regulation of protein metabolic process	408	47	21.71	1.3e-06	0.0002873
GO:0043043	peptide biosynthetic process	523	43	27.83	2.3e-06	0.000489474074074074
GO:0009737	response to abscisic acid	495	63	26.34	3.1e-06	0.000636164285714286
GO:0009893	positive regulation of metabolic process	645	57	34.32	3.5e-06	0.000670366666666667
GO:0006396	RNA processing	705	77	37.51	3.5e-06	0.000670366666666667
GO:0032268	regulation of cellular protein metabolic...	395	45	21.02	3.7e-06	0.000685812903225806
GO:0048523	negative regulation of cellular process	587	58	31.24	4.7e-06	0.00084394375
GO:0051171	regulation of nitrogen compound metaboli...	2138	156	113.77	5.2e-06	0.000905430303030303
GO:0033036	macromolecule localization	924	86	49.17	6.2e-06	0.0010478
GO:0048024	regulation of mRNA splicing, via spliceo...	31	16	1.65	8.0e-06	0.00131337142857143
GO:0031324	negative regulation of cellular metaboli...	397	41	21.13	1.4e-05	0.00223455555555556
GO:0051172	negative regulation of nitrogen compound...	358	39	19.05	1.5e-05	0.00232945945945946
GO:0031399	regulation of protein modification proce...	214	26	11.39	2.0e-05	0.00302421052631579
GO:0010629	negative regulation of gene expression	457	55	24.32	2.5e-05	0.00368333333333333
GO:0045184	establishment of protein localization	684	68	36.4	3.0e-05	0.0043095
GO:0044419	interspecies interaction between organis...	886	75	47.15	3.5e-05	0.00490512195121951
GO:0031327	negative regulation of cellular biosynth...	302	31	16.07	4.8e-05	0.00656685714285714
GO:0010608	posttranscriptional regulation of gene e...	222	32	11.81	6.1e-05	0.00809663636363636
GO:0016925	protein sumoylation	12	5	0.64	6.2e-05	0.00809663636363636
GO:0033993	response to lipid	654	72	34.8	7.0e-05	0.00893822222222222
GO:0016458	gene silencing	155	21	8.25	8.5e-05	0.0106176086956522
GO:0000380	alternative mRNA splicing, via spliceoso...	32	15	1.7	0.00012	0.0146706382978723
GO:2000779	regulation of double-strand break repair	10	5	0.53	0.00013	0.0155620833333333
GO:0019220	regulation of phosphate metabolic proces...	179	20	9.52	0.00014	0.0157733333333333
GO:0009890	negative regulation of biosynthetic proc...	303	31	16.12	0.00014	0.0157733333333333
GO:0008380	RNA splicing	246	42	13.09	0.00014	0.0157733333333333
GO:1901360	organic cyclic compound metabolic proces...	3698	217	196.78	0.00015	0.0162622641509434
GO:0051656	establishment of organelle localization	88	16	4.68	0.00015	0.0162622641509434
GO:0043085	positive regulation of catalytic activit...	168	28	8.94	0.00016	0.0170251851851852
GO:0046483	heterocycle metabolic process	3538	215	188.26	0.00023	0.0235996428571429
GO:0048518	positive regulation of biological proces...	986	78	52.47	0.00023	0.0235996428571429
GO:0031325	positive regulation of cellular metaboli...	605	51	32.19	0.00024	0.0241936842105263
GO:0006397	mRNA processing	354	52	18.84	0.00026	0.0257579310344828
GO:0006457	protein folding	145	19	7.72	0.00028	0.0272691525423729
GO:0006996	organelle organization	1502	123	79.92	0.00030	0.02873
GO:0042327	positive regulation of phosphorylation	71	11	3.78	0.00032	0.0301429508196721
GO:0015833	peptide transport	696	67	37.04	0.00040	0.0370709677419355
GO:0045937	positive regulation of phosphate metabol...	74	11	3.94	0.00049	0.0446911111111111
GO:0006518	peptide metabolic process	574	44	30.54	0.00055	0.0493796875
GO:0051336	regulation of hydrolase activity	122	22	6.49	0.00064	0.056576
GO:0006414	translational elongation	45	9	2.39	0.00066	0.05746
GO:0001934	positive regulation of protein phosphory...	70	10	3.72	0.00075	0.0643208955223881
GO:0071840	cellular component organization or bioge...	2582	172	137.39	0.00078	0.06591
GO:0002376	immune system process	307	30	16.34	0.00096	0.079944347826087
GO:2000113	negative regulation of cellular macromol...	287	29	15.27	0.00100	0.0809295774647887
GO:0010604	positive regulation of macromolecule met...	584	50	31.08	0.00100	0.0809295774647887
GO:0006903	vesicle targeting	23	6	1.22	0.00110	0.0877861111111111
GO:0051236	establishment of RNA localization	85	14	4.52	0.00116	0.091306301369863
GO:0010562	positive regulation of phosphorus metabo...	74	11	3.94	0.00136	0.104960266666667
GO:0035195	gene silencing by miRNA	33	11	1.76	0.00137	0.104960266666667
GO:0006725	cellular aromatic compound metabolic pro...	3627	214	193	0.00166	0.125233333333333
GO:0051301	cell division	357	33	19	0.00170	0.125233333333333
GO:0048522	positive regulation of cellular process	823	64	43.79	0.00170	0.125233333333333
GO:0033674	positive regulation of kinase activity	68	11	3.62	0.00174	0.125864761904762
GO:0006470	protein dephosphorylation	157	16	8.35	0.00179	0.125864761904762
GO:0051173	positive regulation of nitrogen compound...	558	46	29.69	0.00181	0.125864761904762
GO:0071705	nitrogen compound transport	859	73	45.71	0.00182	0.125864761904762
GO:0006997	nucleus organization	58	12	3.09	0.00182	0.125864761904762
GO:0098542	defense response to other organism	683	61	36.34	0.00184	0.125864761904762
GO:0034248	regulation of cellular amide metabolic p...	137	19	7.29	0.00209	0.140309302325581
GO:0006417	regulation of translation	137	19	7.29	0.00210	0.140309302325581
GO:0006090	pyruvate metabolic process	81	8	4.31	0.00219	0.144640689655172
GO:0051129	negative regulation of cellular componen...	67	12	3.57	0.00222	0.144955909090909
GO:0010035	response to inorganic substance	765	76	40.71	0.00229	0.147846516853933
GO:0065009	regulation of molecular function	442	47	23.52	0.00237	0.151311333333333
GO:0006914	autophagy	68	9	3.62	0.00240	0.151542857142857
GO:0031400	negative regulation of protein modificat...	40	7	2.13	0.00248	0.154462365591398
GO:0010118	stomatal movement	111	14	5.91	0.00250	0.154462365591398
GO:0048511	rhythmic process	125	15	6.65	0.00260	0.158931914893617
GO:0044093	positive regulation of molecular functio...	184	29	9.79	0.00274	0.165726736842105
GO:0031122	cytoplasmic microtubule organization	39	8	2.08	0.00297	0.175897959183673
GO:0031401	positive regulation of protein modificat...	102	12	5.43	0.00298	0.175897959183673
GO:1903507	negative regulation of nucleic acid-temp...	238	24	12.66	0.00300	0.175897959183673
GO:0045141	meiotic telomere clustering	2	2	0.11	0.00317	0.183988080808081
GO:0010038	response to metal ion	396	51	21.07	0.00324	0.1861704
GO:0007049	cell cycle	551	45	29.32	0.00334	0.190016237623762
GO:0010558	negative regulation of macromolecule bio...	289	29	15.38	0.00352	0.198293333333333
GO:0090304	nucleic acid metabolic process	3005	192	159.9	0.00358	0.1994525
GO:0051179	localization	2134	140	113.55	0.00361	0.1994525
GO:0090220	chromosome localization to nuclear envel...	2	2	0.11	0.00375	0.20111
GO:0044238	primary metabolic process	7663	382	407.76	0.00378	0.20111
GO:0051174	regulation of phosphorus metabolic proce...	179	20	9.52	0.00379	0.20111
GO:0046364	monosaccharide biosynthetic process	47	6	2.5	0.00384	0.20111
GO:1903792	negative regulation of anion transport	4	2	0.21	0.00385	0.20111
GO:0022411	cellular component disassembly	84	13	4.47	0.00396	0.20111
GO:0044070	regulation of anion transport	13	3	0.69	0.00398	0.20111
GO:0090559	regulation of membrane permeability	2	2	0.11	0.00402	0.20111
GO:0070197	meiotic attachment of telomere to nuclea...	2	2	0.11	0.00404	0.20111
GO:0035303	regulation of dephosphorylation	37	8	1.97	0.00404	0.20111
GO:1903320	regulation of protein modification by sm...	18	5	0.96	0.00406	0.20111
GO:0006413	translational initiation	74	10	3.94	0.00408	0.20111
GO:0007064	mitotic sister chromatid cohesion	17	4	0.9	0.00411	0.20111
GO:0031113	regulation of microtubule polymerization	4	3	0.21	0.00413	0.20111
GO:0097240	chromosome attachment to the nuclear env...	2	2	0.11	0.00419	0.202317142857143
GO:0042221	response to chemical	2313	176	123.08	0.00482	0.22984
GO:0043604	amide biosynthetic process	583	46	31.02	0.00484	0.22984
GO:0043067	regulation of programmed cell death	47	9	2.5	0.00501	0.234044390243902
GO:0031326	regulation of cellular biosynthetic proc...	1887	122	100.41	0.00501	0.234044390243902
GO:0051247	positive regulation of protein metabolic...	161	17	8.57	0.00512	0.237254193548387
GO:1902679	negative regulation of RNA biosynthetic ...	238	24	12.66	0.00532	0.24454976
GO:0032269	negative regulation of cellular protein ...	93	12	4.95	0.00541	0.246713174603175
GO:0000398	mRNA splicing, via spliceosome	162	33	8.62	0.00548	0.247937637795276
GO:1903959	regulation of anion transmembrane transp...	12	3	0.64	0.00564	0.253183125
GO:0006998	nuclear envelope organization	9	4	0.48	0.00569	0.253447596899225
GO:0032984	protein-containing complex disassembly	62	11	3.3	0.00574	0.253708
GO:0050879	multicellular organismal movement	7	3	0.37	0.00589	0.258350687022901
GO:1903960	negative regulation of anion transmembra...	4	2	0.21	0.00596	0.259440606060606
GO:0051248	negative regulation of protein metabolic...	94	12	5	0.00638	0.275136934306569
GO:0009628	response to abiotic stimulus	1643	130	87.43	0.00648	0.275136934306569
GO:0018105	peptidyl-serine phosphorylation	79	9	4.2	0.00654	0.275136934306569
GO:0034766	negative regulation of ion transmembrane...	4	2	0.21	0.00655	0.275136934306569
GO:0043162	ubiquitin-dependent protein catabolic pr...	4	2	0.21	0.00656	0.275136934306569
GO:0007034	vacuolar transport	75	10	3.99	0.00678	0.28230347826087
GO:0030865	cortical cytoskeleton organization	37	8	1.97	0.00689	0.284819712230216
GO:0019319	hexose biosynthetic process	25	5	1.33	0.00700	0.2873
GO:0035196	production of miRNAs involved in gene si...	24	9	1.28	0.00762	0.310528510638298
GO:0018193	peptidyl-amino acid modification	345	26	18.36	0.00773	0.312792816901408
GO:0035304	regulation of protein dephosphorylation	32	8	1.7	0.00787	0.316230909090909
