GO.ID	Term	Annotated	Significant	Expected	parentchildFisher	parentchildFisher_fdr
GO:0005829	cytosol	2261	238	88.24	1e-30	5.2e-28
GO:0005622	intracellular	13799	678	538.55	1e-30	5.2e-28
GO:0005886	plasma membrane	3065	206	119.62	4.7e-27	1.62933333333333e-24
GO:0005634	nucleus	5478	363	213.79	2.6e-20	6.76e-18
GO:0005737	cytoplasm	9752	503	380.6	4.6e-20	9.568e-18
GO:0043226	organelle	12227	582	477.19	2.6e-16	4.50666666666667e-14
GO:0071944	cell periphery	3781	227	147.56	2.1e-12	3.12e-10
GO:0031974	membrane-enclosed lumen	1289	98	50.31	1.7e-10	2.21e-08
GO:0016604	nuclear body	113	21	4.41	2.6e-09	3.00444444444444e-07
GO:0099080	supramolecular complex	326	35	12.72	7.5e-08	7.8e-06
GO:0043228	non-membrane-bounded organelle	1851	134	72.24	1.7e-07	1.56e-05
GO:0005654	nucleoplasm	464	43	18.11	1.8e-07	1.56e-05
GO:0043232	intracellular non-membrane-bounded organ...	1851	134	72.24	2.7e-07	2.16e-05
GO:0031965	nuclear membrane	60	12	2.34	1.3e-06	9.65714285714286e-05
GO:0043233	organelle lumen	1289	98	50.31	1.4e-06	9.70666666666666e-05
GO:0005881	cytoplasmic microtubule	31	10	1.21	2.0e-06	0.000122352941176471
GO:0070013	intracellular organelle lumen	1289	98	50.31	2.0e-06	0.000122352941176471
GO:0048046	apoplast	518	20	20.22	2.3e-06	0.000132888888888889
GO:0005681	spliceosomal complex	171	28	6.67	2.9e-06	0.000158736842105263
GO:0055044	symplast	1027	70	40.08	4.7e-06	0.0002444
GO:0032991	protein-containing complex	2946	160	114.98	5.2e-06	0.000255272727272727
GO:0030054	cell junction	1031	70	40.24	5.4e-06	0.000255272727272727
GO:0009524	phragmoplast	94	13	3.67	7.6e-05	0.00343652173913043
GO:0005856	cytoskeleton	417	48	16.27	0.00019	0.00823333333333333
GO:0005652	nuclear lamina	4	3	0.16	0.00023	0.009568
GO:0005635	nuclear envelope	144	19	5.62	0.00035	0.0138666666666667
GO:0009504	cell plate	35	7	1.37	0.00036	0.0138666666666667
GO:0000326	protein storage vacuole	17	5	0.66	0.00089	0.0330571428571429
GO:0000322	storage vacuole	17	5	0.66	0.00109	0.0390896551724138
GO:0000785	chromatin	204	18	7.96	0.00118	0.0409066666666667
GO:0005854	nascent polypeptide-associated complex	5	3	0.2	0.00133	0.0442
GO:0012505	endomembrane system	2280	117	88.98	0.00136	0.0442
GO:0031301	integral component of organelle membrane	179	9	6.99	0.00314	0.0989575757575758
GO:0005875	microtubule associated complex	86	12	3.36	0.00413	0.125988571428571
GO:1990904	ribonucleoprotein complex	738	55	28.8	0.00424	0.125988571428571
GO:0009574	preprophase band	18	4	0.7	0.00464	0.134044444444444
GO:0005938	cell cortex	94	11	3.67	0.00517	0.145318918918919
GO:0031981	nuclear lumen	1054	88	41.14	0.00554	0.151621052631579
GO:0080008	Cul4-RING E3 ubiquitin ligase complex	96	7	3.75	0.00724	0.193066666666667
GO:0098588	bounding membrane of organelle	1414	62	55.19	0.00777	0.20202
GO:0030136	clathrin-coated vesicle	65	12	2.54	0.00797	0.202165853658537
GO:0030863	cortical cytoskeleton	36	9	1.41	0.00858	0.212457142857143
GO:0030904	retromer complex	10	3	0.39	0.00945	0.224309090909091
GO:0005794	Golgi apparatus	1154	75	45.04	0.00949	0.224309090909091
