GO.ID	Term	Annotated	Significant	Expected	parentchildFisher	parentchildFisher_fdr
GO:0097367	carbohydrate derivative binding	2899	2528	2079.21	1e-30	3.105e-28
GO:0004672	protein kinase activity	1119	1054	802.57	1e-30	3.105e-28
GO:0036094	small molecule binding	3384	2873	2427.06	1e-30	3.105e-28
GO:0097159	organic cyclic compound binding	7396	5936	5304.54	1e-30	3.105e-28
GO:1901363	heterocyclic compound binding	7377	5917	5290.91	1e-30	3.105e-28
GO:0005488	binding	13302	9976	9540.42	1e-30	3.105e-28
GO:0016772	transferase activity, transferring phosp...	1756	1521	1259.43	1e-30	3.105e-28
GO:0043168	anion binding	3364	2853	2412.72	1e-30	3.105e-28
GO:0016817	hydrolase activity, acting on acid anhyd...	908	788	651.23	1e-30	3.105e-28
GO:0016773	phosphotransferase activity, alcohol gro...	1275	1184	914.45	1e-30	3.105e-28
GO:1901265	nucleoside phosphate binding	3172	2736	2275.01	3.2e-30	9.03272727272727e-28
GO:0140096	catalytic activity, acting on a protein	2637	2112	1891.3	2.9e-28	7.50375e-26
GO:0035639	purine ribonucleoside triphosphate bindi...	2725	2398	1954.42	1.2e-21	2.86615384615385e-19
GO:0016301	kinase activity	1486	1339	1065.78	1.1e-19	2.43964285714286e-17
GO:0060089	molecular transducer activity	309	283	221.62	2.8e-18	5.796e-16
GO:0043167	ion binding	6540	5099	4690.6	3.9e-15	7.5684375e-13
GO:0032553	ribonucleotide binding	2858	2506	2049.81	5.2e-15	9.49764705882353e-13
GO:0000166	nucleotide binding	3172	2736	2275.01	2.7e-14	4.6575e-12
GO:0005516	calmodulin binding	184	175	131.97	5.6e-14	9.15157894736842e-12
GO:0016740	transferase activity	4149	3139	2975.73	5.3e-12	8.22825e-10
GO:0005524	ATP binding	2451	2192	1757.9	2.5e-11	3.69642857142857e-09
GO:0017076	purine nucleotide binding	2837	2487	2034.74	4.6e-10	6.49227272727273e-08
GO:0032559	adenyl ribonucleotide binding	2553	2273	1831.05	8.8e-10	1.188e-07
GO:0008092	cytoskeletal protein binding	300	264	215.17	2.3e-09	2.8566e-07
GO:0030554	adenyl nucleotide binding	2560	2278	1836.08	2.3e-09	2.8566e-07
GO:0003682	chromatin binding	161	149	115.47	6.6e-09	7.88192307692308e-07
GO:0038023	signaling receptor activity	280	267	200.82	1.2e-08	1.38e-06
GO:0042802	identical protein binding	340	293	243.85	4.4e-08	4.87928571428571e-06
GO:0004674	protein serine/threonine kinase activity	909	874	651.95	1.7e-07	1.8201724137931e-05
GO:0005216	ion channel activity	149	133	106.87	2.4e-07	2.484e-05
GO:0016799	hydrolase activity, hydrolyzing N-glycos...	137	107	98.26	3.0e-07	3.00483870967742e-05
GO:0003723	RNA binding	1390	1152	996.93	3.5e-07	3.39609375e-05
GO:0003887	DNA-directed DNA polymerase activity	26	24	18.65	4.3e-07	4.04590909090909e-05
GO:0042393	histone binding	98	92	70.29	5.0e-07	4.56617647058824e-05
GO:0015399	primary active transmembrane transporter...	200	175	143.44	6.1e-07	5.41157142857143e-05
GO:0016759	cellulose synthase activity	27	27	19.36	6.6e-07	5.6925e-05
GO:0051020	GTPase binding	123	114	88.22	1.5e-06	0.000125878378378378
GO:0140110	transcription regulator activity	1738	1332	1246.52	2.2e-06	0.000179763157894737
GO:0008047	enzyme activator activity	141	116	101.13	3.9e-06	0.0003105
GO:0005261	cation channel activity	104	97	74.59	4.9e-06	0.0003803625
GO:0042578	phosphoric ester hydrolase activity	389	284	279	1.1e-05	0.000813214285714286
GO:0016760	cellulose synthase (UDP-forming) activit...	27	27	19.36	1.1e-05	0.000813214285714286
GO:0008270	zinc ion binding	657	484	471.21	5.5e-05	0.00395181818181818
GO:0005085	guanyl-nucleotide exchange factor activi...	50	48	35.86	5.6e-05	0.00395181818181818
GO:0003724	RNA helicase activity	36	35	25.82	6.8e-05	0.004692
GO:0052866	phosphatidylinositol phosphate phosphata...	28	28	20.08	7.5e-05	0.0050625
GO:0140030	modification-dependent protein binding	49	47	35.14	7.9e-05	0.00521904255319149
GO:0000978	RNA polymerase II cis-regulatory region ...	41	36	29.41	9.0e-05	0.005821875
GO:0042803	protein homodimerization activity	194	164	139.14	9.4e-05	0.0059565306122449
GO:0016702	oxidoreductase activity, acting on singl...	30	28	21.52	0.00024	0.014904
GO:0008810	cellulase activity	28	24	20.08	0.00027	0.0164382352941176
GO:0004177	aminopeptidase activity	32	26	22.95	0.00039	0.0232875
GO:0017056	structural constituent of nuclear pore	24	23	17.21	0.00047	0.027025
GO:0004252	serine-type endopeptidase activity	121	96	86.78	0.00047	0.027025
GO:0045182	translation regulator activity	191	157	136.99	0.00052	0.0293563636363636
GO:0004525	ribonuclease III activity	12	11	8.61	0.00059	0.0327133928571429
GO:0044877	protein-containing complex binding	210	177	150.62	0.00072	0.0392210526315789
GO:0004527	exonuclease activity	115	86	82.48	0.00089	0.0476456896551724
GO:0016645	oxidoreductase activity, acting on the C...	36	32	25.82	0.00096	0.0505220338983051
GO:0008237	metallopeptidase activity	106	84	76.02	0.00099	0.0512325
GO:0004620	phospholipase activity	60	50	43.03	0.00102	0.051583064516129
GO:0004175	endopeptidase activity	363	259	260.35	0.00103	0.051583064516129
GO:0042054	histone methyltransferase activity	51	45	36.58	0.00123	0.060159375
GO:0003729	mRNA binding	418	366	299.8	0.00124	0.060159375
GO:0016887	ATPase activity	601	539	431.05	0.00139	0.0663992307692308
GO:0004888	transmembrane signaling receptor activit...	220	215	157.79	0.00153	0.0719795454545454
GO:0022803	passive transmembrane transporter activi...	197	159	141.29	0.00159	0.0736858208955224
GO:0019199	transmembrane receptor protein kinase ac...	191	188	136.99	0.00189	0.0863007352941177
GO:0019904	protein domain specific binding	83	73	59.53	0.00192	0.0864
GO:0060589	nucleoside-triphosphatase regulator acti...	106	84	76.02	0.00204	0.0904885714285714
GO:0008757	S-adenosylmethionine-dependent methyltra...	207	158	148.46	0.00233	0.101896478873239
GO:0016888	endodeoxyribonuclease activity, producin...	12	11	8.61	0.00258	0.1112625
GO:0015079	potassium ion transmembrane transporter ...	58	53	41.6	0.00268	0.113991780821918
GO:0016835	carbon-oxygen lyase activity	169	125	121.21	0.00278	0.116647297297297
GO:0032296	double-stranded RNA-specific ribonucleas...	12	11	8.61	0.00289	0.119646
GO:0098772	molecular function regulator	2352	1743	1686.89	0.00307	0.125425657894737
GO:0004843	thiol-dependent ubiquitin-specific prote...	56	48	40.16	0.00325	0.131055194805195
GO:0015318	inorganic molecular entity transmembrane...	699	525	501.33	0.00331	0.131763461538462
GO:0022804	active transmembrane transporter activit...	549	417	393.75	0.00336	0.132060759493671
GO:0015085	calcium ion transmembrane transporter ac...	57	54	40.88	0.00345	0.133903125
GO:0015662	ion transmembrane transporter activity, ...	36	35	25.82	0.00357	0.13685
GO:0090599	alpha-glucosidase activity	14	12	10.04	0.00382	0.14464756097561
GO:0016614	oxidoreductase activity, acting on CH-OH...	202	148	144.88	0.00393	0.147019879518072
GO:0016410	N-acyltransferase activity	79	63	56.66	0.00448	0.1656
GO:0015631	tubulin binding	172	159	123.36	0.00533	0.194701764705882
GO:0003774	motor activity	90	86	64.55	0.00600	0.216627906976744
GO:0015075	ion transmembrane transporter activity	724	541	519.26	0.00674	0.240548275862069
GO:0019104	DNA N-glycosylase activity	24	23	17.21	0.00693	0.24451875
GO:0005509	calcium ion binding	264	210	189.35	0.00707	0.246655617977528
GO:0140297	DNA-binding transcription factor binding	19	17	13.63	0.00732	0.25254
GO:0008170	N-methyltransferase activity	92	74	65.98	0.00744	0.253859340659341
GO:0004564	beta-fructofuranosidase activity	15	13	10.76	0.00764	0.25785
GO:0051787	misfolded protein binding	16	16	11.48	0.00888	0.296477419354839
GO:0031072	heat shock protein binding	36	33	25.82	0.00906	0.29926914893617
GO:0051539	4 iron, 4 sulfur cluster binding	104	76	74.59	0.01122	0.363957216494845
GO:0008017	microtubule binding	151	143	108.3	0.01131	0.363957216494845
GO:0030695	GTPase regulator activity	88	74	63.12	0.01137	0.363957216494845
GO:0046873	metal ion transmembrane transporter acti...	198	165	142.01	0.01162	0.364759090909091
GO:0033612	receptor serine/threonine kinase binding	44	33	31.56	0.01163	0.364759090909091
GO:0015086	cadmium ion transmembrane transporter ac...	12	11	8.61	0.01229	0.3816045
GO:0051753	mannan synthase activity	11	8	7.89	0.01282	0.394119801980198
GO:0022836	gated channel activity	91	80	65.27	0.01333	0.405780882352941
GO:0035091	phosphatidylinositol binding	62	54	44.47	0.01394	0.420230097087379
GO:0015299	solute:proton antiporter activity	50	43	35.86	0.01414	0.422160576923077
GO:0008242	omega peptidase activity	69	54	49.49	0.01510	0.446528571428571
GO:0022890	inorganic cation transmembrane transport...	444	347	318.44	0.01551	0.454325943396226
GO:0008235	metalloexopeptidase activity	19	17	13.63	0.01664	0.482871028037383
GO:0005319	lipid transporter activity	50	43	35.86	0.01713	0.490248165137615
GO:0019207	kinase regulator activity	92	71	65.98	0.01721	0.490248165137615
GO:0016616	oxidoreductase activity, acting on the C...	170	130	121.93	0.01818	0.509108108108108
GO:0008409	5'-3' exonuclease activity	25	23	17.93	0.01820	0.509108108108108
GO:0004675	transmembrane receptor protein serine/th...	176	174	126.23	0.01841	0.510384375
GO:0016157	sucrose synthase activity	10	10	7.17	0.01923	0.528399557522124
GO:0016417	S-acyltransferase activity	36	30	25.82	0.01990	0.541915384615385
GO:0097599	xylanase activity	19	15	13.63	0.02014	0.541915384615385
GO:0019899	enzyme binding	469	368	336.37	0.02031	0.541915384615385
GO:0004030	aldehyde dehydrogenase [NAD(P)+] activit...	12	12	8.61	0.02042	0.541915384615385
GO:0047134	protein-disulfide reductase activity	13	11	9.32	0.02111	0.553159663865546
GO:0016701	oxidoreductase activity, acting on singl...	41	33	29.41	0.02120	0.553159663865546
GO:0050664	oxidoreductase activity, acting on NAD(P...	11	11	7.89	0.02156	0.557865
GO:0032451	demethylase activity	18	17	12.91	0.02182	0.5589
GO:0004386	helicase activity	219	204	157.07	0.02196	0.5589
GO:0044183	protein folding chaperone	23	21	16.5	0.02358	0.595251219512195
GO:0030276	clathrin binding	37	33	26.54	0.02378	0.595458870967742
GO:0003678	DNA helicase activity	46	43	32.99	0.02553	0.629871428571429
GO:0016903	oxidoreductase activity, acting on the a...	61	47	43.75	0.02556	0.629871428571429
GO:0004712	protein serine/threonine/tyrosine kinase...	59	59	42.32	0.02655	0.649116141732283
GO:0016279	protein-lysine N-methyltransferase activ...	51	43	36.58	0.02738	0.660409615384615
GO:0015298	solute:cation antiporter activity	54	46	38.73	0.02758	0.660409615384615
GO:0005536	glucose binding	7	7	5.02	0.02765	0.660409615384615
GO:0035251	UDP-glucosyltransferase activity	170	116	121.93	0.02862	0.666416417910448
GO:0003906	DNA-(apurinic or apyrimidinic site) endo...	12	12	8.61	0.02865	0.666416417910448
GO:0008324	cation transmembrane transporter activit...	479	369	343.55	0.02872	0.666416417910448
GO:0033926	glycopeptide alpha-N-acetylgalactosamini...	9	8	6.45	0.02876	0.666416417910448
GO:0016597	amino acid binding	21	17	15.06	0.02989	0.682643382352941
GO:0046982	protein heterodimerization activity	134	105	96.11	0.02990	0.682643382352941
GO:0031490	chromatin DNA binding	42	38	30.12	0.03582	0.811832846715328
GO:0016668	oxidoreductase activity, acting on a sul...	28	22	20.08	0.03768	0.845944964028777
GO:0016671	oxidoreductase activity, acting on a sul...	40	28	28.69	0.03787	0.845944964028777
GO:0003684	damaged DNA binding	53	47	38.01	0.03837	0.850991785714286
GO:0019210	kinase inhibitor activity	29	22	20.8	0.03878	0.853985106382979
GO:0008175	tRNA methyltransferase activity	18	16	12.91	0.04072	0.887856293706294
GO:0004526	ribonuclease P activity	9	7	6.45	0.04089	0.887856293706294
GO:0004532	exoribonuclease activity	34	25	24.39	0.04207	0.907134375
GO:0000182	rDNA binding	8	8	5.74	0.04408	0.94392
GO:0070300	phosphatidic acid binding	12	12	8.61	0.04530	0.957058163265306
GO:0140296	general transcription initiation factor ...	31	24	22.23	0.04531	0.957058163265306
GO:0016830	carbon-carbon lyase activity	110	80	78.89	0.04674	0.980592567567568
GO:0004144	diacylglycerol O-acyltransferase activit...	16	13	11.48	0.04738	0.987105882352941
GO:0016656	monodehydroascorbate reductase (NADH) ac...	5	5	3.59	0.04799	0.987105882352941
GO:0048256	flap endonuclease activity	12	11	8.61	0.04831	0.987105882352941
GO:0005534	galactose binding	6	6	4.3	0.04839	0.987105882352941
GO:0070566	adenylyltransferase activity	29	24	20.8	0.04864	0.987105882352941
GO:0008891	glycolate oxidase activity	3	3	2.15	0.05000	1
GO:0070122	isopeptidase activity	20	17	14.34	0.05231	1
GO:0008195	phosphatidate phosphatase activity	9	9	6.45	0.05255	1
GO:0004536	deoxyribonuclease activity	44	35	31.56	0.05498	1
GO:0008172	S-methyltransferase activity	8	8	5.74	0.05567	1
GO:0072509	divalent inorganic cation transmembrane ...	81	69	58.09	0.05760	1
GO:0019706	protein-cysteine S-palmitoyltransferase ...	24	19	17.21	0.05812	1
GO:0045156	electron transporter, transferring elect...	11	9	7.89	0.05861	1
