GO.ID	Term	Annotated	Significant	Expected	parentchildFisher	parentchildFisher_fdr
GO:0006468	protein phosphorylation	1222	1138	867.78	1e-30	1.505e-27
GO:0044237	cellular metabolic process	10480	7866	7442.14	1e-30	1.505e-27
GO:0006793	phosphorus metabolic process	2316	1949	1644.66	1e-30	1.505e-27
GO:0036211	protein modification process	2849	2336	2023.15	1e-30	1.505e-27
GO:0009987	cellular process	14843	10796	10540.42	2.8e-30	3.3712e-27
GO:0006807	nitrogen compound metabolic process	8939	6776	6347.83	6.3e-29	6.321e-26
GO:0042742	defense response to bacterium	419	350	297.54	1.0e-28	8.6e-26
GO:0009617	response to bacterium	490	406	347.96	5.2e-28	3.913e-25
GO:0050789	regulation of biological process	5413	4128	3843.92	2.8e-25	1.87288888888889e-22
GO:0016310	phosphorylation	1576	1408	1119.16	4.8e-23	2.8896e-20
GO:0065007	biological regulation	6076	4592	4314.74	9.3e-23	5.01666666666667e-20
GO:0071704	organic substance metabolic process	10988	8179	7802.88	1.0e-22	5.01666666666667e-20
GO:0006464	cellular protein modification process	2849	2336	2023.15	2.5e-22	1.15769230769231e-19
GO:0044238	primary metabolic process	10252	7663	7280.23	5.2e-21	2.236e-18
GO:0044260	cellular macromolecule metabolic process	6854	5323	4867.21	2.0e-20	8.02666666666667e-18
GO:0008152	metabolic process	12346	9015	8767.24	3.0e-19	1.12875e-16
GO:0071840	cellular component organization or bioge...	3304	2582	2346.26	4.8e-16	1.69976470588235e-13
GO:0051716	cellular response to stimulus	2856	2235	2028.12	1.3e-15	4.34777777777778e-13
GO:0019222	regulation of metabolic process	3280	2551	2329.22	1.8e-15	5.70315789473684e-13
GO:0033554	cellular response to stress	1017	839	722.2	1.6e-14	4.816e-12
GO:0032502	developmental process	3189	2437	2264.6	2.5e-14	7.16666666666667e-12
GO:0007049	cell cycle	651	551	462.29	1.3e-13	3.55727272727273e-11
GO:0006996	organelle organization	1818	1502	1291.01	2.2e-13	5.75826086956522e-11
GO:0043170	macromolecule metabolic process	8354	6362	5932.41	2.4e-13	6.02e-11
GO:0045087	innate immune response	351	273	249.25	2.8e-13	6.7424e-11
GO:0032501	multicellular organismal process	2953	2256	2097.01	4.0e-13	9.26153846153846e-11
