GO.ID	Term	Annotated	Significant	Expected	parentchildFisher	parentchildFisher_fdr
GO:0005488	binding	9976	584	507.19	3.2e-13	9.1328e-10
GO:0003729	mRNA binding	366	67	18.61	4.3e-09	6.1361e-06
GO:0003723	RNA binding	1152	119	58.57	5.2e-08	4.94693333333333e-05
GO:0003676	nucleic acid binding	3174	223	161.37	3.8e-07	0.00027113
GO:0030276	clathrin binding	33	11	1.68	5.2e-06	0.00296816
GO:0005507	copper ion binding	146	19	7.42	8.8e-06	0.00418586666666667
GO:0004712	protein serine/threonine/tyrosine kinase...	59	11	3	1.9e-05	0.00774657142857143
GO:0016817	hydrolase activity, acting on acid anhyd...	788	45	40.06	0.00011	0.0392425
GO:0008289	lipid binding	219	27	11.13	0.00019	0.05708
GO:0005543	phospholipid binding	94	14	4.78	0.00020	0.05708
GO:0030234	enzyme regulator activity	334	32	16.98	0.00032	0.0830254545454545
GO:0045182	translation regulator activity	157	18	7.98	0.00104	0.247346666666667
GO:0005515	protein binding	4022	270	204.48	0.00162	0.355652307692308
GO:0016409	palmitoyltransferase activity	20	3	1.02	0.00185	0.377135714285714
GO:0003682	chromatin binding	149	18	7.58	0.00267	0.508012
GO:0045735	nutrient reservoir activity	29	6	1.47	0.00294	0.5244225
GO:0019212	phosphatase inhibitor activity	18	4	0.92	0.00437	0.707792
GO:0016830	carbon-carbon lyase activity	80	7	4.07	0.00461	0.707792
GO:0060090	molecular adaptor activity	64	9	3.25	0.00483	0.707792
GO:0008092	cytoskeletal protein binding	264	29	13.42	0.00496	0.707792
GO:0032182	ubiquitin-like protein binding	50	9	2.54	0.00529	0.718936190476191
GO:0008242	omega peptidase activity	54	5	2.75	0.00695	0.893426086956522
GO:0016151	nickel cation binding	9	3	0.46	0.00720	0.893426086956522
GO:0016721	oxidoreductase activity, acting on super...	6	2	0.31	0.00807	0.9596575
GO:0004386	helicase activity	204	19	10.37	0.00902	1
GO:0042625	ATPase-coupled ion transmembrane transpo...	54	5	2.75	0.00932	1
GO:0009882	blue light photoreceptor activity	6	3	0.31	0.00988	1
GO:0016630	protochlorophyllide reductase activity	3	2	0.15	0.01000	1
GO:0016772	transferase activity, transferring phosp...	1521	65	77.33	0.01124	1
GO:0000217	DNA secondary structure binding	36	6	1.83	0.01211	1
GO:0060589	nucleoside-triphosphatase regulator acti...	84	14	4.27	0.01237	1
GO:0140096	catalytic activity, acting on a protein	2112	90	107.38	0.01361	1
GO:0015399	primary active transmembrane transporter...	175	8	8.9	0.01603	1
GO:0035251	UDP-glucosyltransferase activity	116	6	5.9	0.01625	1
GO:0031210	phosphatidylcholine binding	4	2	0.2	0.01658	1
GO:0009678	pyrophosphate hydrolysis-driven proton t...	35	4	1.78	0.01673	1
GO:0051082	unfolded protein binding	102	13	5.19	0.01780	1
GO:0001786	phosphatidylserine binding	2	2	0.1	0.01817	1
GO:0050997	quaternary ammonium group binding	4	2	0.2	0.01897	1
GO:0019829	ATPase-coupled cation transmembrane tran...	51	5	2.59	0.01925	1
GO:0090079	translation regulator activity, nucleic ...	154	18	7.83	0.02062	1
GO:0140297	DNA-binding transcription factor binding	17	2	0.86	0.02111	1
GO:0030527	structural constituent of chromatin	5	2	0.25	0.02258	1
GO:0017056	structural constituent of nuclear pore	23	4	1.17	0.02319	1
GO:1990380	Lys48-specific deubiquitinase activity	3	2	0.15	0.02442	1
GO:2001070	starch binding	9	2	0.46	0.02516	1
GO:0009881	photoreceptor activity	24	3	1.22	0.02659	1
GO:0003712	transcription coregulator activity	97	9	4.93	0.02853	1
GO:0016656	monodehydroascorbate reductase (NADH) ac...	5	2	0.25	0.03077	1
GO:0036002	pre-mRNA binding	18	5	0.92	0.03078	1
GO:0004784	superoxide dismutase activity	6	2	0.31	0.03118	1
GO:0043424	protein histidine kinase binding	17	4	0.86	0.03234	1
GO:0120227	acyl-CoA binding	6	2	0.31	0.03236	1
GO:0019902	phosphatase binding	16	4	0.81	0.03281	1
GO:0004602	glutathione peroxidase activity	8	2	0.41	0.03377	1
GO:0016627	oxidoreductase activity, acting on the C...	52	4	2.64	0.03381	1
GO:0043621	protein self-association	78	10	3.97	0.03420	1
GO:0043495	protein-membrane adaptor activity	6	3	0.31	0.03494	1
